tdg&iter_descent
181.1652443408966,299.0
176.95387816429138,298.0
174.85573625564575,312.0
182.5937271118164,304.0
172.82366633415222,307.0
172.0677888393402,313.0
173.24752831459045,314.0
177.14543318748474,317.0
175.94117379188538,309.0
176.22709345817566,313.0
178.38720679283142,298.0
173.15304708480835,297.0
161.25100207328796,335.0
160.57262206077576,312.0
166.49496126174927,323.0
157.71112513542175,298.0
135.89007306098938,303.0
139.95798778533936,312.0
137.83561825752258,301.0
141.61781430244446,308.0
