tdg_time|tdg_size|tdg_imp_fit|tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit
574.8224663734436|3024|4981|262.78902769088745|3024|5137
570.4411506652832|3024|4981|258.2896502017975|3024|5153
579.9649262428284|3024|4981|258.20584630966187|3024|5151
569.3813157081604|3024|4981|258.4943861961365|3024|5166
577.1281638145447|3024|4981|257.0694510936737|3024|5152
573.1806206703186|3024|4981|260.41215538978577|3024|5143
576.7780222892761|3024|4981|260.7423939704895|3024|5151
568.959734916687|3024|4981|260.75739336013794|3024|5159
583.6506888866425|3024|4981|259.5127966403961|3024|5149
575.302747964859|3024|4981|248.30925750732422|3024|5157
578.6065981388092|3024|4981|240.64992213249207|3024|5142
573.6956532001495|3024|4981|227.90207147598267|3024|5163
580.9434173107147|3024|4981|222.3750503063202|3024|5156
575.289069890976|3024|4981|219.47462821006775|3024|5149
583.9819538593292|3024|4981|206.3254964351654|3024|5153
575.6126346588135|3024|4981|197.52394199371338|3024|5147
580.6936728954315|3024|4981|187.68383502960205|3024|5165
573.4022722244263|3024|4981|173.31397032737732|3024|5149
556.3154163360596|3024|4981|178.24483489990234|3024|5147
546.0233600139618|3024|4981|173.20412230491638|3024|5143
