tdg_time|tdg_size|tdg_imp_fit|tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit
89.39143013954163|314|4416|65.31140899658203|314|5691
90.41908621788025|314|4416|67.03634214401245|314|5645
88.21327376365662|314|4416|68.7298481464386|314|5859
89.27458882331848|314|4416|66.66566824913025|314|5820
90.47102737426758|314|4416|67.80109310150146|314|5898
89.62606954574585|314|4416|66.84699487686157|314|5619
91.48378205299377|314|4416|65.14613747596741|314|5803
90.25791716575623|314|4416|65.29667854309082|314|5734
87.62468218803406|314|4416|65.98253726959229|314|5862
89.04199266433716|314|4416|65.634441614151|314|5772
88.41551685333252|314|4416|65.51058769226074|314|5958
88.49194145202637|314|4416|63.20202422142029|314|5780
90.01501846313477|314|4416|65.47653198242188|314|5789
89.10154867172241|314|4416|64.95741009712219|314|5893
89.54249954223633|314|4416|67.38164162635803|314|5871
90.4766366481781|314|4416|65.474440574646|314|5787
89.86933898925781|314|4416|65.35119318962097|314|5998
90.38042950630188|314|4416|66.05116844177246|314|5931
89.23515009880066|314|4416|66.29463458061218|314|5776
88.12884426116943|314|4416|66.59713888168335|314|5885
