tdg_time|tdg_size|tdg_imp_fit|tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit
605.7475204467773|3094|4981|261.0131142139435|3094|5185
597.1163654327393|3094|4981|257.3055827617645|3094|5179
599.6926164627075|3094|4981|257.1592469215393|3094|5179
594.7567660808563|3094|4981|258.0978190898895|3094|5195
593.7985315322876|3094|4981|257.5468940734863|3094|5183
595.4990811347961|3094|4981|261.18524837493896|3094|5172
598.2547695636749|3094|4981|261.18936133384705|3094|5163
591.3150658607483|3094|4981|260.0723068714142|3094|5165
593.7473456859589|3094|4981|259.98410725593567|3094|5171
598.5587871074677|3094|4981|242.52669191360474|3094|5160
594.0661299228668|3094|4981|242.09121894836426|3094|5185
593.2647013664246|3094|4981|218.92178106307983|3094|5180
602.9560561180115|3094|4981|223.35408234596252|3094|5165
600.4941878318787|3094|4981|212.06569004058838|3094|5189
598.3020761013031|3094|4981|199.74906253814697|3094|5198
598.8235156536102|3094|4981|183.36651611328125|3094|5163
611.5572056770325|3094|4981|189.23809242248535|3094|5165
575.1831014156342|3094|4981|178.08300971984863|3094|5187
572.5069105625153|3094|4981|169.22959446907043|3094|5172
563.8014736175537|3094|4981|174.32271885871887|3094|5178
