tdg_time|tdg_size|tdg_iter_descent[1000, 1]_time|tdg_iter_descent[1000, 1]_size|tdg_iter_descent[1000, 2]_time|tdg_iter_descent[1000, 2]_size|tdg_iter_descent[1000, 5]_time|tdg_iter_descent[1000, 5]_size|tdg_iter_descent_v2[1000, 1]_time|tdg_iter_descent_v2[1000, 1]_size|tdg_iter_descent_v3[1000, 1]_time|tdg_iter_descent_v3[1000, 1]_size|tdg_iter_descent_v4[1000, 1]_time|tdg_iter_descent_v4[1000, 1]_size
148.31039595603943|437|183.3902611732483|381|182.77925276756287|361|181.0644257068634|387|173.13200187683105|365|175.64201593399048|373|175.31609344482422|367
148.8091869354248|437|179.6116325855255|372|179.08464932441711|383|183.53238487243652|386|172.6752164363861|405|172.12127232551575|390|172.97990202903748|359
147.5557782649994|437|186.09345889091492|399|188.3817446231842|398|181.99272990226746|417|171.25748229026794|379|168.27111101150513|389|173.1001877784729|379
147.15091848373413|437|182.79009771347046|404|182.92317414283752|361|181.7275426387787|419|177.5973036289215|367|172.048828125|404|173.8113763332367|385
148.9147276878357|437|180.38119673728943|390|182.87360620498657|367|179.77312302589417|374|175.73792552947998|373|171.49162364006042|378|176.75876474380493|358
147.4229564666748|437|182.92701315879822|392|183.80628085136414|380|183.915274143219|403|172.08063793182373|408|169.29834961891174|423|174.16694569587708|384
147.48682284355164|437|181.2662262916565|399|185.04270792007446|379|182.96522116661072|405|173.20136833190918|391|172.75353288650513|393|169.78569340705872|389
148.9170024394989|437|182.31724190711975|356|183.5936713218689|380|180.08278155326843|381|170.75608134269714|402|175.4030406475067|398|175.28682160377502|399
147.60006737709045|437|182.31729173660278|400|181.46515440940857|388|181.75597214698792|396|169.61593770980835|374|172.0223412513733|374|177.3706238269806|374
148.07969856262207|437|183.5843026638031|379|179.59319376945496|387|185.7826635837555|379|175.6850745677948|367|171.8104269504547|386|176.072026014328|385
149.03253173828125|437|181.69847774505615|409|180.88679814338684|405|180.81970143318176|365|168.29917430877686|388|171.8098692893982|417|176.86588764190674|383
147.59744095802307|437|182.6586103439331|399|184.23260259628296|384|181.0754315853119|381|169.9471607208252|374|175.26686668395996|380|174.1190061569214|365
148.95975017547607|437|184.62301397323608|369|183.14668488502502|382|185.9083068370819|371|175.66720986366272|375|172.39329504966736|368|171.09476399421692|382
149.40019392967224|437|183.06889653205872|408|181.97485637664795|400|180.67623376846313|395|172.52274107933044|371|169.2142734527588|402|172.96972942352295|376
146.96880197525024|437|183.6268548965454|392|181.76372623443604|379|182.6196768283844|405|171.0768301486969|395|173.25620484352112|382|169.86622142791748|395
148.04152750968933|437|182.041912317276|415|182.3159475326538|383|184.0647428035736|365|170.7620940208435|384|171.60297346115112|369|171.78740191459656|351
151.0788116455078|437|179.4636936187744|391|182.69142174720764|420|182.88965272903442|385|172.0869631767273|370|170.5934021472931|383|172.64563369750977|359
147.86263632774353|437|186.35775899887085|388|180.55873894691467|397|183.19277811050415|393|171.5413670539856|359|168.50746083259583|394|172.0357768535614|360
147.19449853897095|437|182.16594290733337|424|187.00225448608398|407|183.87424302101135|370|173.5459861755371|375|171.6013650894165|388|167.57928562164307|390
149.09306120872498|437|180.835218667984|369|183.25673079490662|394|183.61120581626892|381|171.58976984024048|405|170.1646273136139|362|169.495347738266|373
