tdg_time|tdg_size|tdg_iter_descent[1000, 1]_time|tdg_iter_descent[1000, 1]_size|tdg_iter_descent[1000, 2]_time|tdg_iter_descent[1000, 2]_size|tdg_iter_descent[1000, 5]_time|tdg_iter_descent[1000, 5]_size|tdg_iter_descent_v2[1000, 1]_time|tdg_iter_descent_v2[1000, 1]_size|tdg_iter_descent_v3[1000, 1]_time|tdg_iter_descent_v3[1000, 1]_size|tdg_iter_descent_v4[1000, 1]_time|tdg_iter_descent_v4[1000, 1]_size
507.28338599205017|3380|579.914008140564|3331|583.2366545200348|3325|597.4973890781403|3312|573.8768630027771|3323|576.1616606712341|3338|578.1246957778931|3312
508.9461843967438|3380|582.9060921669006|3337|586.5463993549347|3331|589.2454152107239|3320|579.1812732219696|3321|578.326452255249|3335|574.7512848377228|3328
516.566682100296|3380|580.17311835289|3328|579.4086339473724|3317|587.0096111297607|3326|574.973396062851|3330|578.9576001167297|3341|576.3027722835541|3325
509.19043016433716|3380|582.840359210968|3318|583.4048070907593|3329|589.7333986759186|3327|576.4010016918182|3319|579.4084639549255|3339|575.1347403526306|3341
511.1455271244049|3380|578.9890217781067|3319|589.4044036865234|3335|588.6019217967987|3326|572.8981206417084|3318|584.43155169487|3326|571.7275352478027|3313
509.4009897708893|3380|581.8537168502808|3325|588.6441366672516|3317|584.7120730876923|3323|582.3775007724762|3319|589.4740619659424|3330|570.4001433849335|3320
508.95211124420166|3380|580.1371827125549|3329|594.6254844665527|3330|583.7273240089417|3321|578.0930831432343|3323|589.0711421966553|3335|563.1946747303009|3324
509.46446895599365|3380|581.2446534633636|3329|598.0862138271332|3322|584.1942524909973|3326|577.3575451374054|3330|589.46213555336|3327|562.4179036617279|3336
509.9637167453766|3380|584.8328106403351|3325|588.9766700267792|3333|589.4413032531738|3326|576.530460357666|3323|586.3428449630737|3336|563.5745854377747|3313
511.46872067451477|3380|585.7779076099396|3335|595.7384653091431|3324|584.3257093429565|3328|578.8783826828003|3319|584.2023568153381|3330|561.306533575058|3313
510.6620910167694|3380|583.4518303871155|3327|592.2006049156189|3337|583.7030081748962|3320|579.4091567993164|3331|584.7091989517212|3335|563.0674588680267|3327
510.23794627189636|3380|582.4126169681549|3313|587.2864544391632|3336|583.2692530155182|3322|580.5450739860535|3325|576.3418815135956|3342|578.5974323749542|3327
511.1995701789856|3380|579.6832835674286|3316|589.4916002750397|3332|582.6820232868195|3322|572.9212884902954|3324|571.507447719574|3337|565.6964612007141|3319
509.98047494888306|3380|581.3321595191956|3329|593.1284742355347|3329|582.5402958393097|3332|569.4521610736847|3309|571.4624993801117|3331|549.7356729507446|3319
511.6954083442688|3380|587.0661687850952|3329|590.7271673679352|3332|588.1041574478149|3315|563.333368062973|3312|569.3715498447418|3333|535.6991081237793|3335
510.30834460258484|3380|588.5204677581787|3323|589.4129900932312|3337|589.1760950088501|3313|556.1678977012634|3327|567.1598932743073|3342|534.3803689479828|3336
510.3090851306915|3380|584.3602991104126|3331|587.685263633728|3324|584.7684290409088|3320|540.4464318752289|3316|564.7931880950928|3338|535.8550281524658|3315
509.9022419452667|3380|583.3171789646149|3319|590.4553003311157|3328|590.0599873065948|3327|531.904135465622|3328|561.7282967567444|3322|534.2024745941162|3314
511.12906408309937|3380|581.6826076507568|3322|588.5650453567505|3337|583.8423502445221|3315|531.2448601722717|3325|563.001583814621|3340|534.4917991161346|3334
509.2797040939331|3380|578.9482650756836|3316|587.1921629905701|3335|584.5182862281799|3326|531.710476398468|3317|563.8026502132416|3340|534.7853825092316|3326
