tdg_time|tdg_size|tdg_iter_descent[1000, 1]_time|tdg_iter_descent[1000, 1]_size|tdg_iter_descent[1000, 2]_time|tdg_iter_descent[1000, 2]_size|tdg_iter_descent[1000, 5]_time|tdg_iter_descent[1000, 5]_size|tdg_iter_descent_v2[1000, 1]_time|tdg_iter_descent_v2[1000, 1]_size|tdg_iter_descent_v3[1000, 1]_time|tdg_iter_descent_v3[1000, 1]_size|tdg_iter_descent_v4[1000, 1]_time|tdg_iter_descent_v4[1000, 1]_size
144.7604959011078|582|181.6731822490692|547|181.77337622642517|521|182.9265341758728|518|173.05156326293945|488|171.9074263572693|523|175.93110299110413|513
144.80816745758057|582|179.938072681427|555|179.8749258518219|559|184.17105317115784|488|169.44370079040527|498|170.51072120666504|509|176.4453809261322|488
145.53943824768066|582|181.88538002967834|534|183.2867670059204|488|184.32054781913757|531|170.29346752166748|521|169.11763763427734|529|174.88645458221436|491
144.89197421073914|582|181.76784706115723|498|181.2882902622223|514|181.87867307662964|524|174.67452883720398|495|172.6324815750122|509|177.68410539627075|489
145.5223367214203|582|179.2494444847107|498|181.15171313285828|509|181.72393012046814|545|170.74322724342346|493|167.74805569648743|506|175.9911675453186|496
145.60007166862488|582|180.9289915561676|519|184.52784180641174|509|184.00646471977234|555|174.46796441078186|476|168.9189474582672|547|174.47308588027954|510
145.53896641731262|582|181.28616571426392|542|182.74487018585205|505|182.35846400260925|553|171.49359941482544|530|171.95240879058838|493|180.015376329422|479
145.02261447906494|582|181.83214664459229|502|181.3426477909088|522|182.10739946365356|523|169.82723331451416|475|168.76323413848877|494|174.91390323638916|518
145.21798181533813|582|182.1611030101776|497|182.0536515712738|527|183.08437824249268|506|174.1974675655365|459|172.7205650806427|497|175.21745824813843|482
145.4269142150879|582|183.44324159622192|517|183.17530822753906|507|185.58954548835754|508|173.3570761680603|510|172.39031887054443|495|178.89125752449036|488
144.722270488739|582|181.44679737091064|488|183.75133728981018|488|181.49425959587097|509|167.9175431728363|551|171.30643725395203|485|176.86746740341187|463
145.28202629089355|582|180.57763409614563|515|182.13563632965088|569|185.90303015708923|519|173.88766741752625|481|172.18978357315063|506|177.66222882270813|501
145.00209140777588|582|184.04587078094482|515|184.33517384529114|523|182.52121472358704|496|172.34970474243164|490|165.6274859905243|502|177.27718997001648|505
145.15291213989258|582|180.75847697257996|546|181.7191481590271|516|182.17701745033264|494|170.61008644104004|490|170.85169339179993|509|175.26802134513855|488
145.77653288841248|582|183.30899667739868|500|181.50092220306396|487|185.2066650390625|535|174.0764238834381|512|171.69111132621765|500|174.9196972846985|492
145.42764377593994|582|182.82396960258484|548|184.7667818069458|524|182.88125348091125|523|172.3438696861267|489|168.80892777442932|533|175.44899201393127|497
145.39173984527588|582|182.13765478134155|486|182.22624111175537|516|182.59101247787476|558|172.7113299369812|525|169.4336473941803|535|176.0197434425354|504
145.58397507667542|582|180.41672372817993|538|181.44814252853394|512|188.9299886226654|486|172.1114022731781|527|168.63411164283752|509|175.08403253555298|486
145.54145455360413|582|182.7233476638794|557|184.0354175567627|513|186.50234937667847|548|171.62632203102112|495|169.57384991645813|491|174.94875979423523|493
145.5355362892151|582|182.17383003234863|514|180.46522855758667|522|182.94809460639954|514|173.33055925369263|506|171.57147121429443|494|174.4100046157837|514
