tdg_time|tdg_size|tdg_iter_descent[1000, 1]_time|tdg_iter_descent[1000, 1]_size|tdg_iter_descent[1000, 2]_time|tdg_iter_descent[1000, 2]_size|tdg_iter_descent[1000, 5]_time|tdg_iter_descent[1000, 5]_size|tdg_iter_descent_v2[1000, 1]_time|tdg_iter_descent_v2[1000, 1]_size|tdg_iter_descent_v3[1000, 1]_time|tdg_iter_descent_v3[1000, 1]_size|tdg_iter_descent_v4[1000, 1]_time|tdg_iter_descent_v4[1000, 1]_size
131.62818121910095|1371|256.6435844898224|1283|264.3959250450134|1254|262.6383488178253|1269|261.4632320404053|1327|264.7719974517822|1268|261.5109272003174|1328
133.31526684761047|1371|257.75700664520264|1298|263.12267780303955|1266|268.7804412841797|1263|261.24893712997437|1341|275.3868308067322|1266|269.89824986457825|1320
133.30188512802124|1371|263.0573105812073|1269|263.54438066482544|1257|269.72527551651|1265|265.7256751060486|1320|263.0401141643524|1273|260.7187030315399|1323
134.0358805656433|1371|269.23992347717285|1270|269.226603269577|1264|271.96886563301086|1277|269.1163520812988|1317|267.7487998008728|1285|265.67216181755066|1324
133.1015703678131|1371|261.1053578853607|1276|264.25052094459534|1270|262.64042592048645|1260|261.9787380695343|1307|260.84657168388367|1284|265.1373438835144|1323
133.29049110412598|1371|275.53378224372864|1250|267.83911061286926|1277|264.7188904285431|1302|260.09384322166443|1315|259.80366683006287|1308|267.3680832386017|1314
133.51374793052673|1371|260.72787523269653|1278|271.4027988910675|1276|264.5431661605835|1271|264.9591338634491|1316|262.3107454776764|1267|265.6366150379181|1318
133.7257261276245|1371|260.3454294204712|1270|263.63640904426575|1274|268.4522440433502|1265|256.08666133880615|1316|264.66573691368103|1286|269.27724623680115|1320
133.6552324295044|1371|262.7740659713745|1286|265.68607902526855|1276|269.17628502845764|1267|265.80993270874023|1300|262.873929977417|1280|264.73370242118835|1323
133.7196090221405|1371|275.96870040893555|1265|262.5942921638489|1282|266.3880741596222|1270|260.0911364555359|1334|285.48499512672424|1268|265.39532375335693|1317
133.4754674434662|1371|267.53011083602905|1274|260.45401406288147|1273|264.9006931781769|1273|261.29530358314514|1312|281.2590522766113|1274|264.8538041114807|1311
133.422997713089|1371|256.53083753585815|1282|258.7680993080139|1280|261.63051176071167|1256|256.51749563217163|1311|261.9229645729065|1273|258.74581384658813|1322
133.73899221420288|1371|264.625168800354|1271|265.0505380630493|1263|265.04908537864685|1297|253.6136965751648|1331|253.66704034805298|1288|251.29569101333618|1322
133.18999862670898|1371|261.56006479263306|1250|267.6732258796692|1257|268.8662283420563|1291|250.7978596687317|1355|262.972341299057|1272|252.94583559036255|1328
133.45956444740295|1371|268.0954921245575|1256|263.3152279853821|1286|271.27459740638733|1264|255.58879017829895|1315|272.4067940711975|1268|254.88713598251343|1318
132.92707204818726|1371|257.99106073379517|1281|264.88963174819946|1260|270.34819984436035|1259|262.2680563926697|1329|260.0691018104553|1290|246.25802946090698|1335
134.05269932746887|1371|255.6434726715088|1286|264.89689207077026|1281|278.51666259765625|1242|259.97939682006836|1315|276.1316819190979|1253|235.40322160720825|1337
132.91359949111938|1371|261.3742218017578|1267|264.2372536659241|1263|270.7072591781616|1263|262.0746078491211|1320|258.4828941822052|1272|234.04083061218262|1322
133.3855583667755|1371|262.5159707069397|1274|265.23408341407776|1268|264.92996048927307|1261|256.8023633956909|1311|262.05615162849426|1263|245.11888790130615|1304
133.1226487159729|1371|260.0547754764557|1282|266.2615735530853|1281|270.27139592170715|1273|255.82983589172363|1324|256.6397385597229|1273|231.64998126029968|1325
