tdg_iter_descent[1000, 1]_time|tdg_iter_descent[1000, 1]_size|tdg_time|tdg_size|tdg_iter_descent[1000, 2]_time|tdg_iter_descent[1000, 2]_size|tdg_iter_descent[1000, 5]_time|tdg_iter_descent[1000, 5]_size|tdg_iter_descent_v2[1000, 1]_time|tdg_iter_descent_v2[1000, 1]_size|tdg_iter_descent_v3[1000, 1]_time|tdg_iter_descent_v3[1000, 1]_size|tdg_iter_descent_v4[1000, 1]_time|tdg_iter_descent_v4[1000, 1]_size
188.75474500656128|510|146.97131943702698|590|185.05004978179932|542|183.26913261413574|514|171.58336067199707|518|174.90448474884033|500|180.71730375289917|486
185.42252945899963|514|146.77853417396545|590|184.2613286972046|537|186.00211691856384|510|176.4922173023224|523|174.9936969280243|509|176.7992045879364|534
186.38345742225647|511|145.96067905426025|590|181.9854781627655|539|189.70095348358154|519|172.9072563648224|515|173.34029173851013|504|178.40264773368835|493
185.0804717540741|527|146.14062070846558|590|185.10433721542358|519|183.1177990436554|548|171.36278915405273|507|175.26683855056763|513|176.51689195632935|524
185.34657549858093|516|146.99481010437012|590|188.51961755752563|558|188.2366545200348|499|175.15676403045654|531|172.7256054878235|535|174.00686025619507|566
186.32352876663208|541|146.38171005249023|590|187.00879669189453|500|186.82574796676636|533|173.80067539215088|504|174.97119879722595|485|180.3169662952423|476
184.06695246696472|533|146.1770362854004|590|185.08876252174377|506|182.9569444656372|528|177.16301918029785|500|174.2996826171875|522|176.46731328964233|541
185.02203059196472|528|146.9052722454071|590|182.6645963191986|528|188.56697988510132|505|174.97762370109558|542|175.33660292625427|521|179.72601103782654|502
187.1800057888031|524|146.1092667579651|590|187.92131686210632|522|184.70490956306458|549|170.77883458137512|578|171.6382074356079|521|176.87308549880981|493
185.51061964035034|521|146.47913575172424|590|184.31967186927795|534|185.79127836227417|536|174.44368410110474|542|172.43792533874512|558|180.6232931613922|506
182.9412214756012|549|147.1833267211914|590|183.3555941581726|535|187.8650689125061|512|174.0234489440918|504|175.01069116592407|517|177.52894973754883|535
186.38132739067078|542|146.70440673828125|590|189.96112275123596|519|187.7946240901947|535|175.98176097869873|529|175.49867630004883|525|182.30604600906372|520
184.3082091808319|515|146.5039622783661|590|183.99168157577515|529|185.7061276435852|545|176.01670479774475|501|174.4975938796997|559|176.76272821426392|521
184.37091088294983|525|147.14593887329102|590|184.4838719367981|502|188.03670954704285|517|174.98910665512085|533|173.96949124336243|495|172.75145816802979|530
187.34782552719116|508|146.73453569412231|590|187.93335223197937|528|188.42313528060913|519|176.57713675498962|508|174.648131608963|538|178.4887776374817|502
185.12237858772278|508|146.35708785057068|590|182.44201922416687|541|185.9166054725647|520|179.4827983379364|514|174.3927297592163|534|178.1440715789795|506
185.01228618621826|514|147.33164167404175|590|185.32703495025635|551|188.1486942768097|523|169.47733855247498|544|171.79139304161072|539|172.2594063282013|575
187.42077088356018|551|146.35228371620178|590|187.18043565750122|511|185.79442381858826|517|174.63204431533813|507|175.18230485916138|543|176.78248071670532|575
182.2666518688202|525|147.01330661773682|590|183.67759799957275|515|189.70856428146362|516|175.49527716636658|487|174.4375557899475|526|178.5322630405426|483
184.46417236328125|519|147.97883820533752|590|187.2867443561554|511|187.53873348236084|524|173.65093207359314|489|173.69390892982483|531|171.0710802078247|530
