tdg_iter_descent[1000, 1]_time|tdg_iter_descent[1000, 1]_size|tdg_time|tdg_size|tdg_iter_descent[1000, 2]_time|tdg_iter_descent[1000, 2]_size|tdg_iter_descent[1000, 5]_time|tdg_iter_descent[1000, 5]_size|tdg_iter_descent_v2[1000, 1]_time|tdg_iter_descent_v2[1000, 1]_size|tdg_iter_descent_v3[1000, 1]_time|tdg_iter_descent_v3[1000, 1]_size|tdg_iter_descent_v4[1000, 1]_time|tdg_iter_descent_v4[1000, 1]_size
46.91312551498413|1932|23.17160964012146|1941|45.623046875|1927|46.2591826915741|1925|42.659003257751465|1927|43.53575134277344|1927|42.796024322509766|1919
47.50862216949463|1924|23.137354850769043|1941|45.167377948760986|1927|45.25012683868408|1930|43.48595356941223|1932|44.160897970199585|1924|44.20513606071472|1924
47.63101887702942|1924|23.16356873512268|1941|45.02799439430237|1926|46.56630492210388|1927|43.46193528175354|1934|42.056801319122314|1927|43.34086298942566|1930
49.76488924026489|1926|23.15846037864685|1941|47.014376401901245|1929|48.89244818687439|1933|42.068625688552856|1932|44.88805794715881|1927|45.72917461395264|1928
49.13895845413208|1928|23.125369548797607|1941|44.93973922729492|1927|48.88253474235535|1934|42.044750452041626|1930|42.40504431724548|1927|44.38380312919617|1924
49.59105563163757|1929|23.297260522842407|1941|47.751554012298584|1926|48.510422706604004|1931|42.5240044593811|1926|43.16455936431885|1924|45.10596966743469|1925
46.85671138763428|1929|23.228947162628174|1941|45.55089354515076|1930|47.95868682861328|1927|42.78602409362793|1930|42.91442894935608|1920|42.17075181007385|1930
47.72353553771973|1926|23.15686345100403|1941|46.905548095703125|1922|46.19591474533081|1930|44.14123272895813|1924|44.1308376789093|1929|44.490753173828125|1933
48.48158144950867|1928|23.212669372558594|1941|45.758979082107544|1922|47.96559286117554|1935|45.67692708969116|1926|42.6490478515625|1924|44.205581188201904|1931
48.576401710510254|1925|23.173221588134766|1941|46.49701166152954|1926|47.64007925987244|1929|44.332189083099365|1923|43.762009382247925|1926|44.981444120407104|1921
48.763275384902954|1926|23.20061421394348|1941|45.124101877212524|1927|48.33322811126709|1927|42.20323467254639|1933|44.25874304771423|1929|43.39018368721008|1928
48.90711545944214|1928|23.182340621948242|1941|45.538325548172|1925|48.02243709564209|1932|42.56067681312561|1932|44.31202530860901|1932|44.31230878829956|1926
47.30961012840271|1929|23.244970083236694|1941|46.629150390625|1928|47.700782775878906|1929|42.28108882904053|1931|43.27082967758179|1923|42.00383424758911|1925
47.339311361312866|1927|23.261218547821045|1941|45.603435039520264|1931|47.19471859931946|1928|45.05445313453674|1927|43.607431411743164|1924|42.66142797470093|1929
49.02029347419739|1920|23.17811107635498|1941|46.42053580284119|1929|48.09422159194946|1925|44.25506854057312|1934|43.075504541397095|1926|43.92321825027466|1923
49.00099968910217|1923|23.192893505096436|1941|45.723039865493774|1932|48.06061244010925|1929|43.729222536087036|1926|44.13726472854614|1924|44.69445466995239|1926
48.724339962005615|1925|23.235052585601807|1941|46.586387157440186|1926|48.71814465522766|1919|43.314478635787964|1923|43.97854232788086|1929|43.412179470062256|1929
48.711313009262085|1929|23.214998960494995|1941|45.97643160820007|1926|48.192256689071655|1926|41.816437005996704|1931|42.791443824768066|1933|43.69345188140869|1928
47.94286894798279|1929|23.16167712211609|1941|47.33938908576965|1931|48.55817794799805|1926|41.87177538871765|1928|42.96209192276001|1930|45.18519926071167|1922
47.02718114852905|1928|23.325228929519653|1941|45.33785271644592|1927|48.777344703674316|1925|41.866600036621094|1928|43.14137005805969|1926|45.29070258140564|1933
