tdg_iter_descent[1000, 2]_time|tdg_iter_descent[1000, 2]_size|tdg_time|tdg_size|tdg_iter_descent[1000, 1]_time|tdg_iter_descent[1000, 1]_size|tdg_iter_descent[1000, 5]_time|tdg_iter_descent[1000, 5]_size|tdg_iter_descent_v2[1000, 1]_time|tdg_iter_descent_v2[1000, 1]_size|tdg_iter_descent_v3[1000, 1]_time|tdg_iter_descent_v3[1000, 1]_size|tdg_iter_descent_v4[1000, 1]_time|tdg_iter_descent_v4[1000, 1]_size
701.1543281078339|1559|621.5203447341919|1693|699.5190799236298|1542|705.9211528301239|1559|699.2623646259308|1533|697.7552268505096|1574|700.8545618057251|1519
701.3076388835907|1555|615.5057651996613|1693|706.4783706665039|1567|722.8510069847107|1559|702.6829853057861|1544|693.721673488617|1559|720.028237581253|1521
702.2704746723175|1559|609.3120839595795|1693|711.5609922409058|1557|703.5614116191864|1566|701.2326445579529|1528|697.8508353233337|1548|713.9487569332123|1525
713.2988896369934|1559|611.0362703800201|1693|705.7800590991974|1560|696.2576389312744|1572|710.7105097770691|1536|713.7609720230103|1551|717.5969517230988|1528
705.6183893680573|1556|613.0519063472748|1693|698.1041734218597|1566|704.6195151805878|1566|708.8614945411682|1528|716.3390247821808|1554|724.0987300872803|1525
709.1385416984558|1556|616.9836983680725|1693|699.8081104755402|1557|702.7033507823944|1564|718.786859035492|1522|708.9672508239746|1556|732.9844706058502|1529
707.9511170387268|1551|611.1730988025665|1693|704.6285045146942|1558|725.4318509101868|1562|713.4542579650879|1526|708.614253282547|1552|723.4430837631226|1512
710.3564538955688|1549|612.6050772666931|1693|699.0237307548523|1574|725.2830357551575|1569|720.0491330623627|1535|707.1757221221924|1560|724.17533659935|1527
713.8880653381348|1560|606.337721824646|1693|704.0413119792938|1547|723.5343639850616|1583|713.9466609954834|1519|708.3847117424011|1539|723.0590682029724|1542
719.9653255939484|1567|612.717289686203|1693|704.2630455493927|1565|718.0756042003632|1570|715.1971790790558|1530|716.883885383606|1567|729.0273077487946|1519
715.4890928268433|1556|615.805290222168|1693|711.49138712883|1567|726.2379405498505|1546|720.5507173538208|1531|714.7883107662201|1557|746.5863907337189|1502
696.935551404953|1554|621.0738265514374|1693|705.9065320491791|1557|717.5819494724274|1561|720.4064719676971|1530|719.8752524852753|1545|723.740957736969|1523
703.9718096256256|1540|614.1636006832123|1693|705.8187005519867|1561|722.1515769958496|1571|717.914187669754|1532|704.7140951156616|1562|722.8310897350311|1530
698.9233913421631|1550|620.8593027591705|1693|699.3531413078308|1567|718.8589143753052|1562|717.2550294399261|1512|708.7304501533508|1557|725.391110420227|1531
699.8799321651459|1558|616.5513739585876|1693|700.5388011932373|1550|721.7786552906036|1567|720.9529845714569|1542|719.6592223644257|1555|726.5428574085236|1514
698.7309060096741|1550|620.0825052261353|1693|704.7147054672241|1567|723.0926976203918|1572|720.7686679363251|1513|715.4523622989655|1547|720.1674077510834|1507
700.8844933509827|1554|617.6312551498413|1693|703.5900559425354|1542|722.4641134738922|1553|724.2234816551208|1525|715.7416040897369|1555|714.475129365921|1525
717.1506218910217|1565|626.1914985179901|1693|707.8991088867188|1557|722.4212126731873|1564|724.4488170146942|1520|711.4339003562927|1559|713.5832624435425|1530
707.747617483139|1535|622.6494357585907|1693|706.0382125377655|1538|719.0214595794678|1555|726.7579054832458|1517|704.1010272502899|1544|709.5806457996368|1526
697.5921592712402|1572|621.9767298698425|1693|698.8526184558868|1559|712.6496276855469|1563|719.2009382247925|1521|703.863109588623|1556|708.7700157165527|1508
