tdg_time|tdg_size|tdg_iter_descent[5000, 1]_time|tdg_iter_descent[5000, 1]_size|tdg_iter_descent[5000, 2]_time|tdg_iter_descent[5000, 2]_size|tdg_iter_descent[5000, 5]_time|tdg_iter_descent[5000, 5]_size|tdg_iter_descent_v2[5000, 1]_time|tdg_iter_descent_v2[5000, 1]_size|tdg_iter_descent_v3[5000, 1]_time|tdg_iter_descent_v3[5000, 1]_size|tdg_iter_descent_v4[5000, 1]_time|tdg_iter_descent_v4[5000, 1]_size
145.8955307006836|1343|507.822890996933|1163|515.9850766658783|1171|506.5134184360504|1142|484.6680238246918|1165|510.11247301101685|1208|541.7703130245209|1184
146.70588493347168|1343|515.8024113178253|1191|516.6340656280518|1190|519.4948937892914|1197|495.2309443950653|1192|513.0028233528137|1190|544.5843296051025|1191
148.30330395698547|1343|515.3990983963013|1184|518.4401240348816|1184|513.2290000915527|1150|493.38710594177246|1176|509.4149353504181|1202|544.3929841518402|1193
145.93270444869995|1343|511.81491231918335|1188|519.9200782775879|1189|508.9919240474701|1198|495.70011949539185|1159|521.0405466556549|1173|525.870076417923|1177
145.67958736419678|1343|511.6206419467926|1155|516.4053881168365|1190|513.3618865013123|1177|499.9622678756714|1187|521.4498901367188|1172|496.5747046470642|1191
144.74259066581726|1343|516.3485369682312|1175|521.5121507644653|1189|515.8624365329742|1152|497.84587597846985|1190|520.524745464325|1185|512.454425573349|1161
146.0265016555786|1343|516.3919739723206|1159|516.8043775558472|1181|515.703691482544|1175|490.3790810108185|1182|514.2410688400269|1219|450.66232538223267|1212
144.08245420455933|1343|511.7996361255646|1194|518.9682033061981|1182|509.9662549495697|1211|493.7512745857239|1168|511.77412366867065|1197|467.2008855342865|1191
145.25552582740784|1343|515.4366359710693|1183|515.2511563301086|1172|516.6078336238861|1180|490.28346848487854|1183|494.9080059528351|1223|471.1865999698639|1159
146.3915319442749|1343|527.2096681594849|1159|516.0029525756836|1219|509.07627177238464|1205|490.54978013038635|1183|473.3593852519989|1155|455.5867438316345|1180
145.76549100875854|1343|505.3560872077942|1212|535.6298484802246|1108|518.6689939498901|1153|494.90227031707764|1214|493.44466614723206|1148|446.5505545139313|1197
144.75348210334778|1343|520.0673596858978|1178|510.91177892684937|1194|512.19216132164|1206|493.9260904788971|1188|478.2015526294708|1200|426.9496340751648|1174
145.1523163318634|1343|507.6948184967041|1168|504.57119607925415|1160|512.2360019683838|1205|490.4992423057556|1215|474.3719253540039|1169|448.1218936443329|1188
143.56756067276|1343|513.5903658866882|1188|510.8405864238739|1169|516.2943482398987|1189|462.48640179634094|1183|455.3101272583008|1216|448.01924300193787|1192
145.40792155265808|1343|508.52613139152527|1164|520.4718677997589|1182|514.5231626033783|1178|460.6858994960785|1182|471.0610158443451|1191|430.39348816871643|1189
145.04293990135193|1343|509.1875035762787|1179|522.9842920303345|1187|518.3612246513367|1163|442.31037044525146|1187|457.0952160358429|1173|460.73636054992676|1136
145.83603382110596|1343|515.5044455528259|1161|506.86057686805725|1221|511.61993288993835|1187|417.37661147117615|1153|435.99343729019165|1156|441.669495344162|1188
143.6015706062317|1343|520.2990097999573|1139|517.699700832367|1166|486.8743727207184|1192|410.51558923721313|1188|452.9585814476013|1191|447.683456659317|1176
145.50012302398682|1343|520.9830629825592|1190|522.8167669773102|1161|476.74797201156616|1172|429.16204500198364|1195|439.07490706443787|1174|456.08966875076294|1161
143.49707698822021|1343|518.0390455722809|1145|518.2545554637909|1158|464.37778306007385|1176|414.33833956718445|1164|431.1118097305298|1199|439.91673254966736|1172
