tdg_iter_descent[1000, 2]_time|tdg_iter_descent[1000, 2]_size|tdg_time|tdg_size|tdg_iter_descent[1000, 1]_time|tdg_iter_descent[1000, 1]_size|tdg_iter_descent[1000, 5]_time|tdg_iter_descent[1000, 5]_size|tdg_iter_descent_v2[1000, 1]_time|tdg_iter_descent_v2[1000, 1]_size|tdg_iter_descent_v3[1000, 1]_time|tdg_iter_descent_v3[1000, 1]_size|tdg_iter_descent_v4[1000, 1]_time|tdg_iter_descent_v4[1000, 1]_size
195.5995705127716|321|150.2558138370514|361|190.51863884925842|328|189.19260168075562|320|180.16551804542542|310|181.80116486549377|333|182.86716055870056|312
192.5224108695984|326|146.84470462799072|361|189.93756103515625|316|189.20021605491638|324|178.52831888198853|310|179.92288970947266|336|184.09176564216614|301
191.5365433692932|336|148.2117760181427|361|188.67129373550415|317|190.74396324157715|317|180.0038743019104|319|184.8695468902588|325|186.12685108184814|307
191.3105275630951|316|147.47052311897278|361|189.97320246696472|330|187.1570041179657|321|181.09016942977905|321|185.0745792388916|322|181.84518265724182|322
196.244690656662|327|146.4625964164734|361|193.18173241615295|335|187.01553869247437|324|182.8640718460083|324|184.26284742355347|320|187.69716215133667|318
197.41474747657776|337|147.38379287719727|361|189.16630101203918|326|190.1261420249939|331|180.65857005119324|326|190.39537835121155|328|187.5968382358551|316
195.58691263198853|322|148.64867424964905|361|190.53131318092346|318|189.9672656059265|325|180.70200943946838|311|185.26024532318115|320|187.12535214424133|319
200.183443069458|318|148.68290424346924|361|193.82778692245483|319|190.28119325637817|319|182.59046530723572|323|186.2562539577484|319|187.68538880348206|318
198.40373754501343|320|147.09735226631165|361|189.0294382572174|325|192.19993090629578|325|180.1723804473877|325|187.7149634361267|321|187.3127360343933|311
198.39481568336487|342|150.40970039367676|361|188.8456211090088|325|197.96640849113464|325|177.62980699539185|307|178.69307827949524|324|188.47751712799072|305
194.5019407272339|322|146.80074286460876|361|190.25465989112854|331|191.62556624412537|332|182.25258708000183|315|182.83689785003662|320|188.38360571861267|318
192.90755367279053|316|147.34029841423035|361|191.5496392250061|334|194.0793776512146|344|181.30440139770508|307|184.11782574653625|311|186.8568775653839|312
194.28002214431763|315|147.3655755519867|361|191.9978485107422|326|192.17508482933044|319|178.20088839530945|307|183.57510662078857|322|184.79738092422485|319
194.2084460258484|317|146.2947599887848|361|191.70124673843384|324|192.3464493751526|334|179.87305617332458|333|182.37177538871765|318|184.0930449962616|312
195.5736312866211|322|146.78479647636414|361|192.751202583313|321|192.85509204864502|326|182.73070096969604|313|182.1240782737732|321|187.21906805038452|316
190.32323145866394|324|146.83428859710693|361|191.22893714904785|323|196.77785396575928|328|180.31594467163086|313|185.60327291488647|324|189.05699801445007|321
192.75713658332825|320|147.9740891456604|361|190.4927077293396|334|192.1450915336609|320|179.36738681793213|316|182.6093394756317|317|191.38152265548706|322
190.1959056854248|329|147.1046278476715|361|190.34256434440613|324|196.35753059387207|342|179.9310712814331|319|182.9581639766693|321|188.34320044517517|314
192.03020977973938|328|149.26613879203796|361|187.67444849014282|318|189.58907842636108|340|182.25336933135986|312|186.64967370033264|325|190.2644202709198|316
190.83010625839233|333|148.22548246383667|361|191.40930461883545|317|190.07766485214233|324|181.4279487133026|309|186.02817368507385|314|184.45839667320251|324
