tdg&iter_descent_v3[10000, 1]
time,|TSS|
149.18164539337158,1400
142.3671519756317,1392
141.1262013912201,1406
141.22122240066528,1401
147.09806871414185,1408
145.43148112297058,1407
145.34074091911316,1399
145.51376509666443,1410
147.02647376060486,1411
146.38244152069092,1410
143.99770855903625,1418
142.25113320350647,1408
144.82533812522888,1401
141.73766946792603,1406
134.17746877670288,1399
129.4872784614563,1414
131.83648657798767,1413
135.98996663093567,1419
133.12545585632324,1413
128.52002239227295,1410
