tdg&iter_descent_v2[10000, 1]
time,|TSS|
181.1652443408966,299
176.95387816429138,298
174.85573625564575,312
182.5937271118164,304
172.82366633415222,307
172.0677888393402,313
173.24752831459045,314
177.14543318748474,317
175.94117379188538,309
176.22709345817566,313
178.38720679283142,298
173.15304708480835,297
161.25100207328796,335
160.57262206077576,312
166.49496126174927,323
157.71112513542175,298
135.89007306098938,303
139.95798778533936,312
137.83561825752258,301
141.61781430244446,308
