tdg&iter_descent_v3[10000, 1]
time,|TSS|
147.48355889320374,1529
144.43989181518555,1532
143.27483415603638,1527
144.47914457321167,1532
148.1212146282196,1526
144.50200629234314,1536
143.35882329940796,1531
144.9757239818573,1535
148.967036485672,1527
144.37755966186523,1534
144.37061047554016,1536
144.08792662620544,1533
146.4346911907196,1516
140.85727453231812,1535
133.57331776618958,1528
132.86706805229187,1527
133.56979131698608,1530
136.659681558609,1538
133.47893357276917,1535
127.25712132453918,1528
