tdg&1+1[10000]
time,|TSS|
175.91007471084595,1540
168.06214785575867,1544
159.26679301261902,1541
158.66221141815186,1550
159.71421146392822,1537
158.58191013336182,1551
160.61635899543762,1550
160.28040075302124,1550
158.905344247818,1542
158.9817020893097,1551
159.07855415344238,1545
152.80725359916687,1557
148.07530784606934,1533
147.40502333641052,1552
147.81141638755798,1548
147.78868341445923,1554
147.46903610229492,1561
147.72228693962097,1547
149.9228961467743,1550
147.26428890228271,1544
