tdg&iter_descent_v3[10000, 1]
time,|TSS|
622.3798053264618,3184
618.6878266334534,3192
620.7565078735352,3178
592.7215514183044,3198
570.1515305042267,3175
533.7225930690765,3199
511.6358642578125,3196
512.6633815765381,3198
510.2558641433716,3194
511.10004448890686,3181
511.20501828193665,3175
511.587256193161,3189
511.45371985435486,3181
511.2739505767822,3174
510.6457505226135,3175
511.6318609714508,3187
512.6551525592804,3178
512.6934387683868,3185
506.64487957954407,3217
511.1433403491974,3180
