tdg&iter_descent[10000, 1]
time,|TSS|
613.0060861110687,3193
610.6720807552338,3191
608.7593016624451,3190
612.9038805961609,3188
579.6517226696014,3180
522.7564177513123,3206
523.7827391624451,3201
521.5802307128906,3201
525.2865314483643,3188
525.5372245311737,3198
510.17914843559265,3187
506.0194957256317,3180
507.2074851989746,3181
501.923335313797,3221
506.4249231815338,3201
505.0984811782837,3200
506.7243320941925,3189
507.8451917171478,3197
505.52306509017944,3194
498.78792810440063,3183
