tdg&iter_descent[10000, 1]
time,|TSS|
609.0741229057312,3159
610.481495141983,3148
612.2254159450531,3150
611.0260014533997,3165
580.9678888320923,3153
531.7286598682404,3141
523.5675618648529,3161
524.1987066268921,3153
520.3644709587097,3175
523.6336531639099,3166
510.0685923099518,3151
506.68696570396423,3158
509.3082826137543,3148
506.4913396835327,3146
508.7408366203308,3152
507.4687511920929,3134
508.61008191108704,3151
507.5509822368622,3139
509.34667444229126,3145
498.8804018497467,3160
