tdg&iter_descent[10000, 1]
time,|TSS|
142.27749681472778,1414
135.7573561668396,1425
135.24554705619812,1413
137.5880765914917,1393
141.87189888954163,1413
136.9180510044098,1413
137.18894386291504,1410
139.5137186050415,1406
139.71351289749146,1398
141.2838418483734,1413
135.9802258014679,1407
140.5033814907074,1412
136.42359972000122,1395
143.5567591190338,1408
137.39583039283752,1412
136.83445572853088,1409
138.5388798713684,1401
142.2495677471161,1406
136.2852029800415,1411
134.34896111488342,1407
