tdg&iter_descent_v2[10000, 1]
time,|TSS|
613.2922339439392,3152
611.1202099323273,3152
616.5485968589783,3141
590.744292974472,3165
567.5906548500061,3149
535.0745873451233,3139
509.56867575645447,3157
513.5286643505096,3114
508.73724913597107,3152
512.2292711734772,3137
509.34187293052673,3139
512.3175382614136,3137
509.6993634700775,3138
510.6808021068573,3142
509.8763813972473,3138
509.7931663990021,3150
509.08364510536194,3141
509.5289330482483,3143
507.7406668663025,3148
504.8624794483185,3142
