tdg&iter_descent_v3[10000, 1]
time,|TSS|
608.5933847427368,3152
608.982483625412,3150
606.54301404953,3143
585.0349521636963,3150
562.439026594162,3145
524.6283574104309,3160
504.74369978904724,3153
506.3945472240448,3129
504.0107853412628,3172
502.5888252258301,3157
502.7391793727875,3147
503.36530470848083,3137
504.754287481308,3135
502.03953742980957,3155
503.18987011909485,3156
502.1375045776367,3152
504.689795255661,3142
503.31264543533325,3147
504.4469015598297,3141
503.49681878089905,3155
