tdg&1+1[10000]
time,|TSS|
611.3643143177032,3153
590.0294554233551,3128
589.231883764267,3133
559.2070786952972,3132
558.5613887310028,3137
527.5443017482758,3159
490.9065592288971,3157
484.04436206817627,3164
490.5400719642639,3135
485.23753809928894,3129
486.7632565498352,3137
490.70589208602905,3143
471.28262853622437,3132
473.019672870636,3160
467.43809723854065,3153
468.39904165267944,3140
472.3617515563965,3133
470.0369040966034,3154
466.207768201828,3144
467.73231530189514,3141
