tdg&iter_descent_v3[10000, 1]
time,|TSS|
919.1874012947083,1206
924.1558229923248,1195
887.2608997821808,1184
829.4927697181702,1210
797.5227830410004,1207
798.8497910499573,1197
784.2664313316345,1240
799.4771914482117,1226
805.2653760910034,1193
807.6313345432281,1193
817.6989822387695,1208
817.0335869789124,1178
811.9229423999786,1198
735.5657188892365,1218
734.6862332820892,1209
745.3066356182098,1188
704.8654727935791,1222
722.7717254161835,1232
744.8891885280609,1209
733.8449809551239,1180
