tdg&iter_descent_v2[10000, 1]
time,|TSS|
983.1016466617584,1440
989.5885698795319,1419
906.6695537567139,1423
882.8138613700867,1433
864.2250955104828,1431
865.6703205108643,1429
830.4536871910095,1434
827.7260320186615,1427
858.1575038433075,1417
850.5065269470215,1438
860.9256277084351,1416
862.6561870574951,1417
807.9645357131958,1406
756.4983549118042,1426
787.8985962867737,1426
783.9320724010468,1434
782.2175319194794,1428
773.4345834255219,1424
759.7578253746033,1419
688.3564026355743,1414
