tdg&iter_descent_v2[10000, 1]
time,|TSS|
142.73770022392273,1535
139.82097744941711,1532
139.46880555152893,1532
140.1795835494995,1539
143.71312952041626,1526
140.1567554473877,1543
139.5182626247406,1533
139.11843967437744,1529
140.25076484680176,1534
142.41148614883423,1531
138.73751163482666,1523
138.8532772064209,1523
140.03924894332886,1533
141.4837760925293,1533
131.51373171806335,1536
128.60490655899048,1539
127.9186201095581,1529
129.95771861076355,1539
129.8826687335968,1535
128.5335133075714,1527
