tdg&doerr1+1[3;10000]
time,|TSS|
144.37222504615784,1423
139.001886844635,1428
138.25582671165466,1429
138.57717895507812,1426
143.82936096191406,1422
139.23966193199158,1423
140.91770958900452,1424
141.4281005859375,1433
143.8877284526825,1424
140.76438069343567,1439
138.10411930084229,1419
143.79297971725464,1421
142.51474595069885,1429
145.5971212387085,1422
138.81366229057312,1431
141.49460768699646,1438
137.6299204826355,1420
145.1793930530548,1432
141.14754104614258,1418
137.31490445137024,1419
