tdg_time|tdg_size|tdg_imp_fit|tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit
26.915717363357544|1126|3146|65.85395836830139|1126|3351
27.082972526550293|1126|3146|64.8295156955719|1126|3330
26.571033000946045|1126|3146|65.79770135879517|1126|3313
26.215434312820435|1126|3146|66.3836259841919|1126|3319
26.682542085647583|1126|3146|65.84554839134216|1126|3322
26.146976232528687|1126|3146|65.46495413780212|1126|3321
25.9937641620636|1126|3146|64.75218367576599|1126|3321
26.049201250076294|1126|3146|66.72653293609619|1126|3349
26.422383069992065|1126|3146|66.97821927070618|1126|3334
26.18851661682129|1126|3146|65.29400849342346|1126|3329
26.48157548904419|1126|3146|65.4794557094574|1126|3316
26.386549711227417|1126|3146|64.29008078575134|1126|3330
26.255009412765503|1126|3146|64.77685761451721|1126|3340
26.181289434432983|1126|3146|67.16473436355591|1126|3358
26.035807371139526|1126|3146|65.41836404800415|1126|3330
27.330929040908813|1126|3146|66.5734076499939|1126|3323
26.204776287078857|1126|3146|66.13606858253479|1126|3326
25.8867826461792|1126|3146|64.8458046913147|1126|3316
26.16203784942627|1126|3146|66.32503938674927|1126|3331
26.79895806312561|1126|3146|66.17151379585266|1126|3313
