tdg_time|tdg_size|tdg_imp_fit|tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit
157.17940664291382|1450|2425|461.83521699905396|1450|3059
154.7608516216278|1450|2425|455.86742401123047|1450|2966
151.39187502861023|1450|2425|460.9469037055969|1450|3094
152.8780162334442|1450|2425|461.09794878959656|1450|3021
151.90600180625916|1450|2425|456.7576389312744|1450|2984
150.57077622413635|1450|2425|465.336297750473|1450|3052
151.55797243118286|1450|2425|459.54856038093567|1450|3056
154.32463264465332|1450|2425|457.4069368839264|1450|2954
150.82777500152588|1450|2425|435.34647250175476|1450|2761
150.10187911987305|1450|2425|461.1469166278839|1450|2997
152.5485908985138|1450|2425|465.0104410648346|1450|3036
150.9467897415161|1450|2425|467.4432852268219|1450|3047
148.9057445526123|1450|2425|456.141081571579|1450|3035
154.82052636146545|1450|2425|464.19172739982605|1450|3051
150.4848175048828|1450|2425|456.7070713043213|1450|2972
148.79267024993896|1450|2425|456.06749153137207|1450|3023
153.72222805023193|1450|2425|429.23529624938965|1450|2929
152.82009768486023|1450|2425|412.6476397514343|1450|2907
150.9477140903473|1450|2425|415.3307328224182|1450|3032
154.89511489868164|1450|2425|411.56155252456665|1450|3033
