exact_sat_time|exact_sat_size|tdg_time|tdg_size|1+1[10000]_time|1+1[10000]_size|tdg_1+1[10000]_time|tdg_1+1[10000]_size
3644.9709572792053|15|0.0040891170501708984|20|0.4886009693145752|17|0.4730660915374756|16
3614.306727409363|15|0.004036903381347656|20|0.48236751556396484|17|0.4649503231048584|16
3600.753788471222|15|0.0040683746337890625|20|0.49081993103027344|17|0.47811412811279297|17
3624.153514146805|15|0.004035234451293945|20|0.49785780906677246|17|0.4847226142883301|17
3616.351846933365|15|0.004046201705932617|20|0.4914860725402832|16|0.48368048667907715|17
3594.7559349536896|15|0.0040361881256103516|20|0.5000917911529541|18|0.47215747833251953|15
3578.838968515396|15|0.004043102264404297|20|0.4902181625366211|17|0.48068857192993164|16
3564.317324399948|15|0.004043102264404297|20|0.49030494689941406|17|0.4852430820465088|17
3557.7180349826813|15|0.0040471553802490234|20|0.4886152744293213|17|0.4849092960357666|17
3565.9567697048187|15|0.004032135009765625|20|0.4754908084869385|17|0.47562479972839355|16
3592.0287251472473|15|0.004034757614135742|20|0.48235034942626953|17|0.46611833572387695|16
3571.7872035503387|15|0.004037380218505859|20|0.48841404914855957|17|0.4627702236175537|15
3573.48277592659|15|0.004058837890625|20|0.5030734539031982|17|0.4801371097564697|17
3573.019439935684|15|0.004034996032714844|20|0.5062823295593262|16|0.4984750747680664|16
3569.9272067546844|15|0.004035234451293945|20|0.5140361785888672|17|0.49457502365112305|16
3547.9093775749207|15|0.0040357112884521484|20|0.5160923004150391|16|0.49793052673339844|16
3535.31844162941|15|0.004056453704833984|20|0.5120174884796143|17|0.49019455909729004|16
3534.8427424430847|15|0.004057884216308594|20|0.52398681640625|17|0.5069024562835693|16
3516.6670322418213|15|0.004049539566040039|20|0.5071980953216553|17|0.5047333240509033|17
3289.822764635086|15|0.004060029983520508|20|0.5085639953613281|17|0.49945998191833496|16
