exact_sat_time|exact_sat_size|tdg_time|tdg_size|1+1[10000]_time|1+1[10000]_size|tdg_1+1[10000]_time|tdg_1+1[10000]_size
35336.32163834572|16|0.005413532257080078|19|0.5233707427978516|17|0.5265207290649414|17
34736.7278277874|16|0.005498170852661133|19|0.5303585529327393|18|0.5340530872344971|17
28644.96418762207|16|0.005437612533569336|19|0.5378897190093994|17|0.549579381942749|17
28579.35186958313|16|0.005480289459228516|19|0.5304794311523438|17|0.5399281978607178|17
28384.105980873108|16|0.005466938018798828|19|0.5453159809112549|17|0.5385453701019287|17
28740.833436965942|16|0.00533747673034668|19|0.5393352508544922|17|0.5454611778259277|17
28397.009061813354|16|0.004189014434814453|19|0.5417075157165527|17|0.541569709777832|17
None|None|0.0041904449462890625|19|0.5376467704772949|17|0.5440704822540283|17
None|None|0.004182577133178711|19|0.531731367111206|17|0.5378108024597168|17
None|None|0.004202127456665039|19|0.5394556522369385|17|0.537426233291626|17
None|None|0.004174470901489258|19|0.5331912040710449|17|0.533886194229126|17
None|None|0.0041828155517578125|19|0.5426886081695557|17|0.5503244400024414|17
None|None|0.00417017936706543|19|0.550492525100708|17|0.5588798522949219|17
None|None|0.0041997432708740234|19|0.5792357921600342|18|0.5731039047241211|17
None|None|0.004183292388916016|19|0.5529844760894775|17|0.5617666244506836|17
None|None|0.004181623458862305|19|0.578730583190918|19|0.5729966163635254|18
None|None|0.004178285598754883|19|0.5669190883636475|18|0.5702624320983887|17
None|None|0.004217624664306641|19|0.5644581317901611|17|0.5550906658172607|17
None|None|0.004174947738647461|19|0.5584380626678467|17|0.5767819881439209|18
None|None|0.004186153411865234|19|0.5816795825958252|22|0.5551676750183105|17
