exact_sat_time|exact_sat_size|tdg_time|tdg_size|1+1[10000]_time|1+1[10000]_size|tdg_1+1[10000]_time|tdg_1+1[10000]_size
3455.6780202388763|16|0.004456996917724609|21|0.4873652458190918|18|0.4929845333099365|17
3430.9402379989624|16|0.004578828811645508|21|0.47775936126708984|18|0.47883033752441406|17
3416.5494315624237|16|0.004494905471801758|21|0.4857189655303955|18|0.49030613899230957|16
3432.4558758735657|16|0.004159212112426758|21|0.48426127433776855|17|0.4968595504760742|17
3437.5077934265137|16|0.004136323928833008|21|0.47507238388061523|17|0.502129316329956|17
3429.7646317481995|16|0.004155158996582031|21|0.4842207431793213|18|0.49630212783813477|17
3395.260968208313|16|0.004121065139770508|21|0.4950113296508789|18|0.4966769218444824|17
3382.76695895195|16|0.004144430160522461|21|0.4951181411743164|17|0.4931223392486572|17
3373.541284561157|16|0.00412750244140625|21|0.48836255073547363|18|0.49326634407043457|16
3376.1068313121796|16|0.004152059555053711|21|0.49555230140686035|19|0.49590063095092773|17
3406.3063786029816|16|0.004134654998779297|21|0.4825761318206787|17|0.5113804340362549|18
3400.9835193157196|16|0.0041351318359375|21|0.4833366870880127|17|0.503129243850708|17
3386.9375665187836|16|0.0041239261627197266|21|0.5018918514251709|18|0.5125424861907959|17
3379.807151079178|16|0.0041429996490478516|21|0.5040233135223389|18|0.5194292068481445|17
3390.7629041671753|16|0.004140377044677734|21|0.5105421543121338|17|0.5224246978759766|16
3383.6079540252686|16|0.004125833511352539|21|0.5076262950897217|17|0.5244531631469727|18
3359.638362646103|16|0.004132747650146484|21|0.498668909072876|17|0.5135242938995361|16
3349.224381685257|16|0.004134654998779297|21|0.5104696750640869|18|0.5128042697906494|16
3347.720746278763|16|0.004139900207519531|21|0.512019157409668|19|0.5157396793365479|16
3351.095406293869|16|0.0041484832763671875|21|0.5121033191680908|17|0.5163521766662598|18
