tdg_iter_descent_v4[10000, 1, 25]_time|tdg_iter_descent_v4[10000, 1, 25]_size|tdg_iter_descent_v4[10000, 1, 50]_time|tdg_iter_descent_v4[10000, 1, 50]_size|tdg_iter_descent_v4[10000, 1, 75]_time|tdg_iter_descent_v4[10000, 1, 75]_size|tdg_iter_descent_v4[10000, 1, 100]_time|tdg_iter_descent_v4[10000, 1, 100]_size|tdg_iter_descent_v4[10000, 1, 125]_time|tdg_iter_descent_v4[10000, 1, 125]_size
225.7604534626007|1614|222.0425102710724|1626|236.2869884967804|1620|278.42798686027527|1612|221.52531576156616|1625
223.7993621826172|1611|220.23823428153992|1616|240.3567476272583|1617|281.81281566619873|1622|220.126962184906|1614
230.02647280693054|1613|226.76694083213806|1613|240.46013712882996|1616|280.3179831504822|1620|222.0325837135315|1616
222.56214046478271|1620|218.3577582836151|1618|238.97491335868835|1613|282.30225253105164|1613|224.17428517341614|1617
224.04591464996338|1614|222.1134488582611|1607|233.4319713115692|1617|279.8300771713257|1608|227.43638634681702|1617
222.3657386302948|1621|221.77206540107727|1613|239.03691267967224|1620|277.50564455986023|1620|233.38730549812317|1607
225.5022485256195|1623|222.1746039390564|1627|240.0073938369751|1614|282.6008732318878|1614|224.35045099258423|1623
227.45738530158997|1622|221.45921158790588|1619|244.06467652320862|1614|277.838481426239|1620|225.76431918144226|1614
221.93032050132751|1614|218.35559391975403|1627|237.01364398002625|1620|278.3934316635132|1611|219.6010501384735|1623
224.65742182731628|1616|221.5929615497589|1611|237.08515763282776|1604|275.062459230423|1626|221.71826815605164|1624
221.94967985153198|1614|217.99294471740723|1623|237.03911232948303|1621|278.2209253311157|1619|227.31396317481995|1612
228.30268001556396|1615|221.45959043502808|1635|240.76850819587708|1613|284.25906443595886|1607|231.21415400505066|1614
225.7253487110138|1616|220.83021903038025|1622|242.76022696495056|1622|278.51817297935486|1616|224.6607768535614|1615
226.13517999649048|1618|222.24615049362183|1622|237.32961082458496|1622|276.4996633529663|1613|217.96741461753845|1619
221.85077166557312|1622|217.8730764389038|1615|236.9038646221161|1615|269.89903926849365|1627|216.1067988872528|1626
225.662584066391|1610|220.97721076011658|1609|232.48572778701782|1614|274.2201611995697|1622|212.1781620979309|1618
225.01243448257446|1616|218.57347297668457|1622|235.08564066886902|1610|278.3311731815338|1612|221.94502425193787|1616
227.50310516357422|1613|223.3453733921051|1621|229.53000688552856|1618|271.60744547843933|1616|221.29726004600525|1617
223.43852829933167|1625|223.39589643478394|1609|228.06616163253784|1615|260.7932667732239|1620|219.2721815109253|1622
223.61012864112854|1613|218.7311990261078|1620|220.6831328868866|1619|261.21684098243713|1631|212.56574368476868|1619
