tdg_iter_descent_v4[10000, 1, 25]_time|tdg_iter_descent_v4[10000, 1, 25]_size|tdg_iter_descent_v4[10000, 1, 50]_time|tdg_iter_descent_v4[10000, 1, 50]_size|tdg_iter_descent_v4[10000, 1, 75]_time|tdg_iter_descent_v4[10000, 1, 75]_size|tdg_iter_descent_v4[10000, 1, 100]_time|tdg_iter_descent_v4[10000, 1, 100]_size|tdg_iter_descent_v4[10000, 1, 125]_time|tdg_iter_descent_v4[10000, 1, 125]_size
1273.7630512714386|1475|1302.8441767692566|1443|1729.7903816699982|1452|1754.9799916744232|1449|1758.6966862678528|1456
1314.4103736877441|1451|1267.3434410095215|1458|1739.2344624996185|1460|1762.7988138198853|1448|1433.201990365982|1448
1296.8886687755585|1440|1271.5936479568481|1464|1744.578284740448|1473|1764.9665093421936|1460|1260.8975884914398|1449
1307.8763995170593|1457|1284.1221346855164|1459|1765.691869020462|1447|1650.0383729934692|1455|1267.3870475292206|1460
1292.2843956947327|1461|1240.7435467243195|1454|1763.167451620102|1447|1260.807785987854|1470|1206.2451450824738|1457
1292.8520789146423|1470|1283.3947939872742|1453|1737.5347354412079|1453|1270.480046749115|1469|1172.6563878059387|1458
1273.579924583435|1447|1267.4177949428558|1437|1735.4407494068146|1456|1261.873051404953|1466|1130.3318977355957|1475
1211.1834976673126|1479|1238.3251192569733|1453|1665.5371894836426|1456|1268.6244819164276|1440|1101.3019001483917|1453
1259.4588732719421|1460|1212.9403491020203|1482|1729.893208026886|1469|1235.748775959015|1477|1056.0397925376892|1448
1203.2500579357147|1441|1245.0722153186798|1449|1780.9822218418121|1434|1146.4895596504211|1454|1057.508296251297|1478
1255.01380443573|1455|1235.1512141227722|1464|1782.7721269130707|1450|1197.002325296402|1454|1090.7815613746643|1458
1273.967446565628|1433|1245.614874124527|1455|1755.6414659023285|1452|1232.8685901165009|1446|1088.1964282989502|1453
1280.8614809513092|1429|1222.4116208553314|1468|1736.8067338466644|1444|1175.285272359848|1442|1051.7627222537994|1471
1245.3877782821655|1453|1211.2140271663666|1463|1673.0210011005402|1472|1091.350396156311|1465|1052.3925549983978|1435
1240.7192034721375|1472|1224.4248983860016|1460|1656.1063542366028|1485|1115.5694727897644|1471|1051.2854566574097|1469
1179.285569190979|1492|1230.512006521225|1453|1627.6823194026947|1451|1102.184753894806|1471|1060.3756411075592|1444
1231.241107225418|1466|1159.8186523914337|1460|1569.6707882881165|1452|1120.5630161762238|1436|1055.0706346035004|1455
1252.362015247345|1452|1223.4858191013336|1463|1505.1962215900421|1477|1127.7609839439392|1440|1037.1397159099579|1447
1262.0793900489807|1448|1144.3767085075378|1465|1533.7282855510712|1459|1118.9791481494904|1456|983.6667020320892|1453
1272.3657982349396|1445|1250.5589716434479|1444|1522.105288028717|1469|1109.5623304843903|1459|968.2027988433838|1454
