tdg_iter_descent_v4[10000, 1, 25]_time|tdg_iter_descent_v4[10000, 1, 25]_size|tdg_iter_descent_v4[10000, 1, 50]_time|tdg_iter_descent_v4[10000, 1, 50]_size|tdg_iter_descent_v4[10000, 1, 75]_time|tdg_iter_descent_v4[10000, 1, 75]_size|tdg_iter_descent_v4[10000, 1, 100]_time|tdg_iter_descent_v4[10000, 1, 100]_size|tdg_iter_descent_v4[10000, 1, 125]_time|tdg_iter_descent_v4[10000, 1, 125]_size
413.6915934085846|319|433.3981363773346|289|460.68805384635925|334|468.45382022857666|292|420.94395089149475|295
417.1059818267822|291|409.15572476387024|307|468.8550851345062|314|469.6389093399048|302|408.90232157707214|332
404.02577018737793|303|406.472749710083|328|505.2719831466675|315|476.55994153022766|307|436.66616773605347|302
418.2421386241913|293|415.7416441440582|341|484.0410063266754|328|454.12565994262695|329|427.7877540588379|311
413.03429985046387|302|409.34760451316833|351|492.1552710533142|307|472.6128981113434|311|395.47631192207336|316
403.9455499649048|305|415.0505576133728|291|496.7576198577881|281|454.5313594341278|332|405.71469616889954|356
411.32591342926025|325|419.14162158966064|316|503.5536723136902|301|400.0593147277832|298|431.8615221977234|304
411.0261688232422|308|408.3962709903717|292|499.7855181694031|308|378.34229826927185|341|423.4441385269165|293
407.8616261482239|297|426.6621718406677|279|491.5796926021576|303|401.32539796829224|333|412.09048676490784|304
418.31943225860596|316|422.8099660873413|325|499.5966212749481|308|415.7616159915924|289|425.3465507030487|317
408.37596225738525|305|409.6201732158661|328|490.05909538269043|297|396.3868010044098|326|427.406218290329|310
394.78043007850647|331|421.2018849849701|293|501.1819851398468|288|407.2011902332306|335|385.1192717552185|307
409.368935585022|307|423.34252977371216|315|489.9072599411011|290|419.9961438179016|310|388.52921533584595|293
400.7733905315399|308|387.1477565765381|358|479.73508763313293|325|411.5348243713379|312|385.93688917160034|300
415.8093259334564|301|422.5282852649689|308|482.10433554649353|293|409.1533827781677|319|373.11508297920227|313
422.537700176239|315|415.7722566127777|297|489.76325488090515|306|406.8597569465637|293|377.124724149704|293
395.5973496437073|309|404.20801186561584|323|471.78740668296814|339|409.67351937294006|339|384.8000235557556|302
409.3264834880829|289|409.3074862957001|334|468.3173315525055|290|415.23222041130066|291|361.7458164691925|304
421.4350690841675|288|412.91817235946655|290|483.5455822944641|355|396.04747247695923|331|360.36610293388367|300
393.0340926647186|306|406.5054626464844|310|467.32880187034607|309|412.62195563316345|312|344.74248218536377|324
