tdg_iter_descent_v4[10000, 1, 25]_time|tdg_iter_descent_v4[10000, 1, 25]_size|tdg_iter_descent_v4[10000, 1, 50]_time|tdg_iter_descent_v4[10000, 1, 50]_size|tdg_iter_descent_v4[10000, 1, 75]_time|tdg_iter_descent_v4[10000, 1, 75]_size|tdg_iter_descent_v4[10000, 1, 100]_time|tdg_iter_descent_v4[10000, 1, 100]_size|tdg_iter_descent_v4[10000, 1, 125]_time|tdg_iter_descent_v4[10000, 1, 125]_size
1230.192631483078|1301|1236.8943438529968|1293|1484.1818895339966|1297|1696.3299815654755|1298|1395.6189515590668|1288
1217.1036047935486|1308|1270.2347075939178|1287|1490.3625330924988|1282|1715.3304846286774|1282|1428.2655482292175|1274
1197.9873621463776|1275|1272.08544588089|1271|1342.4954578876495|1315|1722.9577286243439|1274|1431.5423970222473|1270
1262.8544313907623|1268|1204.4323847293854|1303|1550.5678362846375|1260|1423.036875486374|1287|1431.4550995826721|1280
1220.9778814315796|1303|1176.5589969158173|1261|1495.7493801116943|1290|1265.5654125213623|1286|1342.7459020614624|1280
1251.632481098175|1269|1262.962066411972|1276|1504.1288170814514|1282|1261.1409468650818|1291|1249.7461547851562|1276
1231.7126035690308|1279|1214.2258639335632|1302|1453.8808934688568|1305|1250.6420843601227|1255|1299.2106597423553|1255
1231.7566759586334|1281|1236.7871186733246|1275|1503.3204474449158|1281|1262.67879986763|1271|1244.7090947628021|1292
1212.7137577533722|1295|1193.6006672382355|1285|1508.4498193264008|1286|1227.4768435955048|1274|1182.8107073307037|1307
1222.6272654533386|1273|1150.3486523628235|1284|1461.5984098911285|1314|1226.569052696228|1292|1210.2746019363403|1303
1219.6905324459076|1274|1150.8605647087097|1291|1390.38498878479|1271|1219.9517633914948|1309|1243.195212841034|1308
1122.9594104290009|1290|1223.8034632205963|1287|1244.7357161045074|1280|1170.9279322624207|1267|1156.989530324936|1290
1154.800787448883|1317|1205.6387441158295|1299|1253.5170753002167|1285|1127.6788721084595|1258|993.0662007331848|1332
1219.351781129837|1276|1214.979718208313|1281|1256.7524437904358|1263|1111.1789050102234|1285|1077.747328042984|1280
1203.27969455719|1273|1220.057780265808|1277|1233.9299857616425|1280|994.911670923233|1307|1030.0727899074554|1308
1199.7048947811127|1285|1203.1432671546936|1282|1263.762789964676|1264|1086.7707858085632|1283|1042.9407632350922|1292
1196.621286869049|1286|1201.2037818431854|1295|1205.0072085857391|1287|1088.0162210464478|1268|1004.4883778095245|1276
1083.9565243721008|1313|1231.0655052661896|1266|1248.1269307136536|1282|1088.179637670517|1276|990.2738626003265|1268
1208.4713923931122|1274|1218.4921765327454|1271|1196.0098631381989|1272|1091.1549243927002|1273|970.6941530704498|1276
1185.9475140571594|1305|1222.992526292801|1278|1110.8547592163086|1302|1063.01988530159|1279|878.1413314342499|1296
