tdg_iter_descent[10000, 5]
time,|TSS|,sol
209.60464811325073,229,193&629&226&1398&4369&5096&2821&1181&3363&289&1369&1765&2360&5220&136&5406&2115&873&1857&1644&924&896&3405&548&1786&1026&1445&1971&1200&1666&1030&2826&1389&138&2094&191&55&66&1462&571&1659&1749&1885&4432&175&310&4754&133&4319&5754&521&3346&606&1735&1692&2223&2653&78&636&180&4689&4617&4196&693&1625&225&1969&4041&108&2275&4741&786&5645&2942&3926&2498&3310&1317&1620&1117&1896&2907&4279&125&1877&821&111&1758&1385&1703&247&418&1108&146&963&4781&2384&2114&701&1163&3462&390&2638&3797&478&64&1294&5504&2345&1847&4574&4815&3285&343&5537&422&715&3551&1792&370&1669&412&3613&382&1992&1098&1920&2823&399&804&3813&248&1579&2798&3771&1834&4769&1403&1476&4967&1610&1734&1930&3937&1685&1459&1742&736&516&3259&1636&1836&4344&2102&326&2314&3833&1198&659&4334&6071&647&1466&1230&1352&4434&43&1075&2523&726&2231&2948&1237&1025&962&4686&886&3475&3033&3846&428&4324&1562&2654&2898&1850&2199&2761&2017&3934&439&1143&3312&2828&1973&44&1328&1534&1343&39&109&2666&979&2049&576&1589&144&5154&955&307&1429&667&1981&1657&5788&1497&929&1698&1229&1626&1002&105&961&537&2596&1815&4793&450&1867
212.24176621437073,219,4203&1398&4369&3922&5096&2821&2719&1181&1369&3930&5220&5406&3066&1533&873&1644&896&2852&3810&3626&1026&1556&1200&1030&3163&5171&1547&1040&1245&1753&66&1462&1659&1749&175&310&1243&4319&5754&606&1735&1692&2653&554&1648&636&180&1137&4617&4285&1596&33&108&2275&786&5645&4362&3926&2498&3310&1785&1620&2942&1882&1234&4973&125&6039&169&1877&111&131&1703&247&418&1108&5063&146&2607&4781&2384&2114&3462&390&2244&196&478&64&2362&5504&243&1396&2345&1847&3285&3466&1675&422&4204&411&4918&2050&370&3613&1920&2014&3981&399&3929&30&1301&248&3813&1579&2798&1361&3771&1834&4769&1403&1318&686&1476&1610&3733&1685&1459&1742&1333&736&516&5775&1043&4344&31&326&5565&2314&1218&4400&1972&3833&1198&4334&950&236&1527&4434&4257&1307&43&1668&1075&129&3962&2862&2086&4004&2948&726&4880&1237&1025&962&4686&1413&4159&886&3475&3846&2007&428&4324&700&1562&2654&2199&2761&5&3934&999&3296&1973&44&2474&4421&1534&2055&1343&62&2666&20&2049&576&1027&5538&1699&955&307&1740&667&1402&1657&5788&1497&929&211&2056&1229&1626&1002&1890&4603&961&537&2596&922&1867&1856
212.03905081748962,214,9&1520&1974&1398&4369&1181&1946&3930&5220&136&5406&3066&873&1644&896&4176&3405&2852&1026&1445&1556&1200&1389&55&1462&1753&1885&4754&310&4319&2743&490&4282&1814&1735&1692&78&703&1648&636&5653&180&5545&1022&4689&4617&693&1701&1596&2683&1969&5168&4041&3247&108&3616&2275&786&5645&4362&3926&2498&3310&2906&1785&1896&2907&1317&335&1620&5285&125&6039&4539&1877&1805&1703&151&247&418&146&963&2384&1163&5457&390&2244&3797&478&766&64&2362&5504&1396&2345&1847&4574&5073&5537&2050&1792&370&1669&3613&4109&3305&1301&804&3813&248&4769&2798&3771&1834&1476&1610&2134&1217&1930&3615&948&3309&1685&1478&1459&1742&1039&1397&736&516&3259&1636&3715&2559&49&1255&1198&644&2309&1230&4434&3913&4740&1674&3866&252&3962&129&1075&355&719&2523&4004&2948&22&1237&1025&475&4686&3364&1413&886&3475&700&428&4324&21&4635&2898&769&1260&2199&2761&2017&439&3312&3296&1973&4421&39&109&20&979&1794&2049&2942&679&576&1250&5154&955&3001&307&2253&667&1657&75&5788&1497&655&929&1698&3096&1229&3171&1626&3398&1002&3967&961&537&2596&1815&1856
204.60768032073975,240,3232&629&1398&4369&2388&424&1181&3858&3363&289&1369&1765&3930&2360&1424&5406&3066&873&1644&4628&896&3571&2392&3405&2852&3810&1026&1556&1200&1666&1389&138&1547&1040&191&55&66&1462&1753&1749&175&310&1724&279&490&1814&1735&1692&4551&2653&385&1648&636&180&5545&1137&4689&4617&693&3933&1625&4285&122&1969&143&5168&33&4041&2690&1400&108&3616&2275&786&2942&3926&2498&3310&1785&1317&1620&3900&125&4539&169&1877&111&131&1805&247&1108&418&1453&146&4781&2384&1163&65&390&3797&196&478&2638&64&3815&2362&5504&2345&1847&4815&5537&422&1675&1792&370&3613&2322&1992&116&1751&3095&3537&1305&3981&399&1301&804&3813&1579&2798&1361&3771&1834&1403&1318&2248&1610&413&2134&3615&1478&1685&1742&3358&2361&389&736&516&303&4344&2102&326&2314&1168&1218&3178&659&4334&950&1427&647&236&4012&1466&3886&4434&1674&1075&2205&4304&2523&2862&4004&2948&22&2231&726&3380&4880&1237&1025&3364&1550&6004&886&3475&2007&428&353&4324&1281&1562&2654&1557&5291&2898&769&1260&2199&2761&2039&1275&2017&3934&2079&852&439&3312&2828&44&4355&39&3654&62&868&2049&5154&955&6067&32&307&667&1657&1091&75&5788&1497&929&1698&211&1229&1626&4189&961&2596&1815&3408&922&1856&2871
206.0940535068512,231,193&226&1398&4369&2728&1181&1369&1946&1765&3930&938&5220&5406&3066&2115&1484&873&1644&896&2852&3405&548&1856&2986&1026&1445&1161&1556&1200&448&1030&496&1389&2224&138&416&55&1462&5677&1659&4735&1749&175&310&1724&1814&1735&1787&1692&2653&636&180&5545&4689&1943&3989&4617&693&4285&33&4041&2281&2690&1400&108&3616&2275&786&2942&4362&3926&1620&3310&1317&3539&125&6039&169&1877&1308&111&131&1758&4107&1703&1108&418&5063&146&963&2384&1649&2114&1163&2544&3462&390&2244&196&2638&64&2362&5504&2345&1847&422&244&2050&370&1669&3613&4109&3564&1992&1098&3095&2052&1305&399&2733&1301&804&248&2299&1579&2798&1361&3771&1834&4769&1403&1476&1318&3129&1544&5608&1930&3615&948&1685&1459&1742&1881&736&516&1836&3558&4344&49&2314&1365&3833&659&906&3676&647&2228&4788&3886&4434&1247&6066&866&1075&198&2523&2086&2862&2948&726&2231&1237&1025&475&3364&3893&4021&886&3475&3846&4805&2007&428&21&5529&1562&192&2654&2898&3468&769&2199&2761&2039&2017&3312&3296&44&2828&1534&109&2666&868&2049&679&576&2032&1004&5154&955&2897&667&1402&1981&1657&75&5788&1497&929&1698&1354&1229&1626&1002&1890&961&537&2596&3495&4940&102
207.67034006118774,205,193&3232&1398&4369&1181&6062&3930&1540&5220&5406&3066&1533&250&873&896&4176&3405&3115&509&1445&1556&1200&1030&1389&138&2575&1547&55&66&1753&1659&1749&175&310&4587&4319&521&3716&1814&1735&1692&606&1409&4293&485&636&180&4689&787&4617&693&2870&4285&1969&4041&108&3616&2275&786&5645&2942&3926&2498&3310&1317&1620&335&5285&125&6039&3441&1877&821&111&4792&2069&1385&247&418&427&5016&5063&146&4781&2384&2114&1163&390&2244&2638&478&64&531&5504&4459&2345&1847&5537&422&2377&4204&1005&370&145&3613&4109&1992&3095&399&1301&804&248&3813&1579&4769&1361&3771&1318&3660&1767&2425&1610&1734&3615&948&1459&1742&3102&736&1836&303&4344&2314&3833&1198&1548&1129&1466&236&2228&1404&4434&1307&43&1247&1674&63&719&129&2523&2862&4004&2948&1237&3024&1025&4686&3364&1413&886&3475&3033&3846&2007&428&4324&1281&1562&192&2654&2898&3333&381&2199&2761&2465&2017&439&3312&1973&39&979&2049&5572&4420&576&5154&955&4160&307&5241&667&2347&3823&1657&5788&1497&3897&1229&1626&264&1002&3117&1815&2871
205.8731427192688,268,3819&1520&3451&629&1398&4369&3515&1181&2087&1765&2360&136&3066&873&1644&896&1922&3405&3810&1200&1666&2451&66&2597&521&507&1814&1735&2223&636&5653&180&1943&98&4617&177&5168&989&1400&2690&108&3616&3991&3926&3310&1785&1317&1743&1877&111&131&1385&1703&151&247&418&5016&146&4781&64&4459&2345&1847&4815&2375&5537&422&4204&370&1669&382&1098&1920&2376&3095&804&3813&248&2798&1361&3771&1834&1411&1930&3615&1685&1478&1459&1742&736&516&1836&3715&2102&2314&2835&1198&4334&1441&767&4740&1674&3866&4206&2523&2086&2948&475&2007&428&2654&769&1850&2199&2039&2017&3934&3312&1973&44&2055&1343&62&2666&979&1027&3257&5154&955&2176&1561&1981&1497&1890&537&2596&325&2871&289&1369&1946&3930&1424&5220&5406&4628&2852&1026&1445&1556&2639&1389&1040&55&1462&1753&1659&1749&926&175&310&4319&606&1787&1692&2653&4293&4689&693&4285&3338&2391&1969&4041&2275&1600&786&5645&2942&1620&2907&335&1234&125&4539&1805&1758&4107&1108&1453&5063&2114&1163&3462&390&2244&196&2638&2362&5504&3285&1675&1792&3613&5113&1992&1305&3981&2709&1579&4769&1403&1476&686&2134&1636&303&4344&326&2819&1168&3833&659&401&1466&1404&3886&4434&1075&2862&4004&2231&726&4880&1237&1025&4686&3364&1413&886&386&3846&1281&1562&863&2898&2761&439&3296&2828&1534&20&1794&2049&576&307&667&1657&75&5788&1229&1626&264&1002&961&1815&4940&1856
200.09178853034973,228,193&3890&9&2471&2546&1398&4369&5096&1181&3363&878&1369&1765&2360&5220&136&5406&3066&2946&873&1644&896&548&1158&1026&3843&1445&998&1556&1200&350&4167&496&1389&2451&2460&1547&191&55&66&1462&1753&15&1749&1531&1209&175&310&279&4891&1926&1814&1735&1692&4745&636&2847&180&4689&1943&4617&3933&4285&1001&1086&1969&5168&33&4041&108&3616&2275&4741&786&5645&1882&3926&2498&3310&1317&1620&4362&2942&335&4890&3865&125&6039&169&1877&111&131&4107&1108&418&427&469&1453&146&963&4781&2384&2114&1163&390&2638&196&64&5504&4459&2345&1847&3285&5537&422&1675&2377&370&3613&4109&1992&1098&1305&3981&2485&1301&3179&804&1403&3771&1834&1610&2134&3615&1685&1742&2112&1881&484&736&516&3558&303&1654&351&1168&2835&747&4721&3833&1752&4334&6071&1466&236&4434&2237&43&3866&3962&4206&129&719&1075&1431&2523&2086&4004&2948&22&2231&1237&1025&4686&3364&886&3475&3033&3156&2007&428&4324&1562&2654&2898&3468&2199&2761&2017&3016&2079&439&3312&3296&1973&44&2828&1534&2055&1343&109&979&20&2049&576&1004&5154&955&32&2253&667&1657&5788&1497&1229&1626&264&1002&2452&4174&961&537&2596&197&1815&3408&922&325
210.6433048248291,235,193&3232&1398&4369&2821&1181&3363&289&2360&3930&5220&136&5406&3066&873&1644&3571&2852&3405&548&1026&1556&1200&1666&1030&4032&2639&1389&2451&3163&416&5432&55&66&369&1462&1753&1659&1749&175&310&4319&5754&521&1926&3716&1814&1735&1692&1787&2653&636&5653&180&4689&4617&693&1625&4285&1969&4041&3220&3341&2690&1400&108&1212&2275&786&2942&1882&1620&2498&2906&1785&1317&3310&4362&3865&4890&5285&125&6039&4539&169&1877&111&131&1805&1703&247&680&418&1108&930&3409&146&963&2384&2657&2114&1163&3462&65&2638&390&1041&478&64&5504&238&4459&2345&1847&3285&5537&422&1675&1792&370&1669&412&3613&1992&2093&2145&1305&3981&399&804&3813&248&1579&2798&3771&1834&4769&1476&1318&2299&1610&2134&3733&3615&3309&1685&1478&1459&1742&2112&3102&736&516&3715&2314&1168&3833&1198&1129&1466&236&2020&1994&43&1674&3866&1075&4206&129&2723&2523&2086&2862&2948&22&4004&726&1713&4880&1237&1025&4686&3364&886&3033&3846&2007&428&4324&1281&1562&2654&2898&724&2199&2761&2039&2017&3934&439&5680&3312&3296&1973&44&2828&1534&2055&62&2666&979&20&2049&679&576&1027&1004&955&307&667&4211&1657&75&5788&1497&929&1229&1626&1002&505&961&537&1815&1856&2871
219.18536162376404,216,193&1287&226&1398&4369&5096&2821&1181&1369&1946&3930&2360&5220&136&3066&1533&250&873&2532&1644&896&2852&3405&1445&1556&1200&1666&1030&2288&1389&2451&3163&1547&55&66&1462&1753&367&1659&1749&4432&378&310&5754&3716&1814&1735&1692&2653&4293&78&385&636&180&4689&4617&693&2391&122&2683&1969&5168&33&989&1400&108&4693&786&5645&1888&1882&3926&1620&3310&1785&2907&1743&335&3865&125&6039&1877&111&131&4107&1703&418&5063&146&4781&1649&2114&1163&701&390&2244&3797&2638&478&5504&238&1847&3285&5537&422&1792&370&1669&4109&1992&1098&1522&6046&804&248&1579&2798&3771&1834&4769&1403&1476&1318&2134&3615&3887&1478&3358&1685&1742&1459&1881&2024&736&516&1506&303&3558&49&2314&2835&3178&3833&906&5486&1141&3046&1129&1466&3295&494&3886&4434&2237&1307&43&4740&1075&1864&2523&2086&2862&726&4880&1025&3364&1413&886&3846&428&4324&21&1562&4635&2654&2898&769&2199&2761&2017&3934&2079&439&3312&3296&2828&1534&62&20&1941&2049&576&1027&1004&2829&5154&955&667&1981&1657&2352&1118&5788&1698&1229&1626&1002&1890&961&797&537&2596&1815&1866&1856&2871
208.76186537742615,229,9&2593&1398&4369&2821&3732&1181&1369&1019&3930&5220&873&2532&1644&896&2852&3405&3115&5177&998&1556&1200&1030&1389&138&1331&55&66&5083&571&1462&1659&1362&1749&5214&175&310&4319&279&5754&521&4282&1814&3346&1692&2653&636&180&112&1748&1943&4689&693&4285&2391&1969&3220&2690&1400&108&2275&786&5645&3991&3926&2498&3310&2530&1785&1317&2942&1620&335&3900&4890&125&6039&169&1877&111&131&1758&1385&1703&151&247&680&418&469&1108&2890&146&4781&2384&2114&1163&390&2638&3797&196&652&2362&1294&5504&1396&1847&3285&3466&5073&5537&244&2375&3337&422&2050&1792&1669&4109&1992&3719&2158&4739&3095&1305&3981&399&1301&4639&248&3813&1579&2798&3771&1834&4769&1403&1476&1318&2134&3615&948&2424&1478&3358&1459&1742&1415&4180&1687&736&1836&303&31&2944&326&2314&801&1129&1466&3886&4852&43&1247&4740&1370&1075&4230&2723&2862&4004&726&2948&1025&4423&4686&3364&1359&4159&886&3475&21&1562&2654&2898&769&165&1260&2761&366&2017&3016&1950&439&999&3312&3296&44&2828&2474&1343&62&2666&979&868&2049&576&2904&4160&1740&667&572&1657&5788&1497&655&1229&628&1626&3398&1002&1890&2452&961&1934&537&2596&4903&2278&1856
