tdg_time|tdg_size|tdg_imp_fit|tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit
151.45512080192566|1381|3233|524.6771347522736|1381|3579
151.33259534835815|1381|3233|533.933851480484|1381|3596
154.41610527038574|1381|3233|532.1882343292236|1381|3581
151.00687980651855|1381|3233|529.3108396530151|1381|3586
155.36248445510864|1381|3233|527.4043400287628|1381|3620
153.25653195381165|1381|3233|531.3780245780945|1381|3592
158.09929752349854|1381|3233|499.59231996536255|1381|3541
152.5295605659485|1381|3233|501.77836537361145|1381|3636
155.62983441352844|1381|3233|485.5568645000458|1381|3608
152.5879487991333|1381|3233|470.93763279914856|1381|3609
157.41731119155884|1381|3233|471.54100346565247|1381|3619
153.05454444885254|1381|3233|445.7003684043884|1381|3643
158.94496369361877|1381|3233|436.27828073501587|1381|3610
151.52493476867676|1381|3233|420.11689925193787|1381|3582
153.88713574409485|1381|3233|400.2725729942322|1381|3553
154.3010663986206|1381|3233|397.2775580883026|1381|3586
157.04426169395447|1381|3233|369.8813738822937|1381|3578
153.35131311416626|1381|3233|372.35400652885437|1381|3519
156.19407725334167|1381|3233|376.4940354824066|1381|3555
151.16504335403442|1381|3233|357.48246932029724|1381|3590
