tdg_time|tdg_size|tdg_imp_fit|tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit
91.5090389251709|291|5137|71.61928224563599|291|6093
91.19681787490845|291|5137|74.76700353622437|291|6103
93.86562967300415|291|5137|74.77462649345398|291|6104
91.8678777217865|291|5137|71.81095480918884|291|5921
92.48377203941345|291|5137|72.14595079421997|291|6131
91.92534375190735|291|5137|72.73712611198425|291|5948
92.62365889549255|291|5137|73.32201027870178|291|6125
93.10917687416077|291|5137|72.01702332496643|291|6013
92.72963333129883|291|5137|71.92504239082336|291|6067
91.82477641105652|291|5137|73.53909611701965|291|6068
92.67153716087341|291|5137|70.4976487159729|291|5952
92.42188882827759|291|5137|73.44648027420044|291|5975
92.3208875656128|291|5137|71.36439371109009|291|5983
92.78887271881104|291|5137|74.7592601776123|291|6076
93.28734946250916|291|5137|73.48442053794861|291|6090
91.61795711517334|291|5137|73.58250951766968|291|6125
92.41911602020264|291|5137|71.0095624923706|291|6015
92.31605577468872|291|5137|71.72354340553284|291|6001
92.13306164741516|291|5137|74.49684858322144|291|5982
92.34130883216858|291|5137|74.0610122680664|291|6030
