tdg_time|tdg_size|tdg_imp_fit|tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit
25.86678957939148|1696|4194|95.39954614639282|1696|4312
26.131365299224854|1696|4194|94.01775646209717|1696|4323
26.32389783859253|1696|4194|96.63493728637695|1696|4321
26.396626472473145|1696|4194|94.75809574127197|1696|4323
26.41735076904297|1696|4194|95.05471181869507|1696|4297
26.088295459747314|1696|4194|95.03844785690308|1696|4321
26.09519934654236|1696|4194|93.78529000282288|1696|4299
25.985079288482666|1696|4194|94.77102279663086|1696|4304
25.980164051055908|1696|4194|93.03509759902954|1696|4310
26.09756326675415|1696|4194|93.61672186851501|1696|4298
26.273416996002197|1696|4194|93.17237877845764|1696|4323
26.03403949737549|1696|4194|92.84268045425415|1696|4308
26.055602073669434|1696|4194|94.29645204544067|1696|4300
26.09278702735901|1696|4194|92.40398812294006|1696|4311
25.951759576797485|1696|4194|93.12540316581726|1696|4299
25.97796320915222|1696|4194|93.17626070976257|1696|4330
26.207168102264404|1696|4194|93.78490018844604|1696|4315
26.318182945251465|1696|4194|93.96824884414673|1696|4306
26.194759368896484|1696|4194|91.08806443214417|1696|4307
26.14214253425598|1696|4194|89.13766050338745|1696|4302
