best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2995, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=2999, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3020, k=1348
best_fit=3043, k=1348
best_fit=2980, k=1346
best_fit=2980, k=1346
best_fit=2980, k=1346
best_fit=2980, k=1346
best_fit=2980, k=1346
best_fit=2980, k=1346
best_fit=2981, k=1346
best_fit=2981, k=1346
best_fit=2981, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=2982, k=1346
best_fit=3044, k=1346
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
best_fit=3029, k=1343
