tdg_time|tdg_size|tdg_iter_descent[10000, 1]_time|tdg_iter_descent[10000, 1]_size|tdg_iter_descent[10000, 2]_time|tdg_iter_descent[10000, 2]_size|tdg_iter_descent[10000, 5]_time|tdg_iter_descent[10000, 5]_size|tdg_iter_descent_v2[10000, 1]_time|tdg_iter_descent_v2[10000, 1]_size|tdg_iter_descent_v3[10000, 1]_time|tdg_iter_descent_v3[10000, 1]_size
94.23269128799438|281|281.56897497177124|184|272.6034641265869|174|262.4047393798828|170|246.67888927459717|162|271.4353497028351|173
93.25948643684387|281|279.0409860610962|163|278.79257345199585|173|275.15072107315063|167|259.60840582847595|167|276.45076847076416|173
91.45912265777588|281|280.3456017971039|168|278.2275938987732|184|264.87115144729614|179|262.6240015029907|155|263.3744537830353|178
92.22292399406433|281|281.3680317401886|187|277.4256179332733|185|266.4091889858246|170|263.02957105636597|156|268.72335171699524|155
92.41745948791504|281|277.410053730011|180|276.9811124801636|179|269.7783122062683|175|257.04070138931274|175|269.27935791015625|172
92.22892713546753|281|280.90603518486023|176|274.34613060951233|174|268.5157492160797|164|244.96405005455017|167|276.58319115638733|172
93.80222058296204|281|279.81138134002686|172|278.64020824432373|176|272.5606620311737|167|266.3321707248688|172|274.96555399894714|161
90.80996060371399|281|273.5198631286621|171|285.46193075180054|162|271.8358383178711|168|261.7108964920044|163|267.7195360660553|172
89.50963473320007|281|271.63755202293396|159|287.13356494903564|175|280.36044001579285|183|271.6958155632019|165|270.7248718738556|164
90.12106943130493|281|272.83641815185547|179|277.8844940662384|172|273.52588844299316|177|268.6261827945709|173|267.3806984424591|171
90.21300768852234|281|271.1873071193695|166|271.68827652931213|170|273.31562995910645|167|260.7165129184723|162|273.55631613731384|166
91.78138709068298|281|281.8179705142975|161|268.1898384094238|170|257.7524526119232|173|263.83635568618774|168|273.3455924987793|161
91.93323302268982|281|269.30975127220154|176|281.80702352523804|182|281.85667061805725|175|252.44945907592773|173|272.70314168930054|161
90.81448078155518|281|261.61878967285156|180|284.6833961009979|169|274.11415934562683|165|268.78009819984436|160|270.5259425640106|180
90.09149193763733|281|277.72014594078064|162|275.89408707618713|158|273.62355065345764|181|272.1869583129883|160|269.95202016830444|164
90.50462293624878|281|279.7020752429962|170|264.153089761734|174|266.46193838119507|160|261.7649426460266|158|269.58202838897705|174
92.57610297203064|281|274.09729409217834|179|269.9479236602783|167|266.17518854141235|181|254.7555058002472|163|274.47960138320923|166
93.86688137054443|281|274.53739976882935|168|275.5223572254181|172|258.5440237522125|166|264.11100220680237|150|273.8002965450287|185
92.5098934173584|281|266.5770835876465|178|267.2750606536865|182|272.8053722381592|177|262.5536253452301|169|270.21469831466675|169
92.80788445472717|281|266.72554993629456|164|266.20544934272766|187|268.8735065460205|164|262.5059370994568|176|277.01927852630615|168
