tdg_time|tdg_size|tdg_iter_descent[10000, 1]_time|tdg_iter_descent[10000, 1]_size|tdg_iter_descent[10000, 2]_time|tdg_iter_descent[10000, 2]_size|tdg_iter_descent[10000, 5]_time|tdg_iter_descent[10000, 5]_size|tdg_iter_descent_v2[10000, 1]_time|tdg_iter_descent_v2[10000, 1]_size|tdg_iter_descent_v3[10000, 1]_time|tdg_iter_descent_v3[10000, 1]_size
146.69890189170837|1371|1795.639770269394|1209|1650.1485822200775|1182|1819.7473735809326|1160|1627.875394821167|1185|1624.1886241436005|1178
148.86180686950684|1371|1653.7581617832184|1189|1668.2857344150543|1159|1735.3596262931824|1166|1618.0264019966125|1194|1647.1908905506134|1205
148.3418209552765|1371|1655.8775913715363|1154|1657.5480916500092|1168|1657.878179550171|1197|1589.7702972888947|1253|1591.1898114681244|1185
147.15888810157776|1371|1634.232993364334|1169|1671.4397032260895|1202|1638.4814195632935|1179|1578.545206785202|1203|1662.026389837265|1188
151.07740545272827|1371|1629.195803642273|1168|1648.9913294315338|1179|1650.52809882164|1202|1598.0889980793|1215|1696.5245769023895|1176
147.38960194587708|1371|1692.0664312839508|1154|1651.8928363323212|1180|1775.5125479698181|1211|1579.453245639801|1236|1632.5969965457916|1156
147.92529344558716|1371|1624.2025480270386|1183|1683.9494609832764|1195|1539.9160125255585|1230|1552.0899605751038|1258|1590.1717257499695|1180
145.97763538360596|1371|1598.9949216842651|1175|1683.5412502288818|1187|1670.8570618629456|1146|1599.1367285251617|1210|1538.4752175807953|1216
147.20162630081177|1371|1670.2195296287537|1184|1604.2492847442627|1247|1640.1146216392517|1174|1567.7216928005219|1257|1597.884657382965|1167
144.45662832260132|1371|1661.7562503814697|1174|1617.1941323280334|1189|1655.8861622810364|1172|1594.2773394584656|1213|1601.296434879303|1164
145.9404022693634|1371|1632.2265930175781|1188|1599.102245092392|1179|1667.9035263061523|1201|1551.2129096984863|1263|1586.5303783416748|1173
145.65883612632751|1371|1643.965933084488|1188|1651.0023119449615|1169|1611.4429414272308|1174|1504.3859419822693|1223|1583.9562754631042|1179
147.17321491241455|1371|1644.0973272323608|1176|1770.7077422142029|1187|1621.551959514618|1192|1591.2736058235168|1235|1613.160633802414|1179
146.5894501209259|1371|1572.222544670105|1153|1522.7659566402435|1239|1626.9569931030273|1158|1582.5000026226044|1195|1565.2755303382874|1158
150.54638481140137|1371|1665.2670693397522|1183|1592.411324262619|1219|1671.5264530181885|1163|1536.631287097931|1262|1699.1111464500427|1175
148.01599192619324|1371|1642.3761615753174|1195|1638.5745973587036|1160|1825.2522511482239|1181|1573.6183857917786|1215|1578.6925535202026|1194
148.4232301712036|1371|1545.5215289592743|1218|1622.7909891605377|1171|1624.8515355587006|1199|1589.2625946998596|1220|1580.3697175979614|1167
146.42718052864075|1371|1516.566569328308|1178|1683.6668491363525|1188|1640.0720164775848|1208|1609.4812400341034|1198|1590.9893078804016|1159
148.80331993103027|1371|1598.0232336521149|1184|1664.4022665023804|1194|1682.7516894340515|1178|1626.6475381851196|1196|1575.7605724334717|1166
143.977942943573|1371|1575.725947856903|1187|1669.1005396842957|1190|1639.1053628921509|1202|1628.1156334877014|1200|1567.1923484802246|1177
