tdg_time|tdg_size|tdg_iter_descent[10000, 1]_time|tdg_iter_descent[10000, 1]_size|tdg_iter_descent[10000, 2]_time|tdg_iter_descent[10000, 2]_size|tdg_iter_descent[10000, 5]_time|tdg_iter_descent[10000, 5]_size|tdg_iter_descent_v2[10000, 1]_time|tdg_iter_descent_v2[10000, 1]_size|tdg_iter_descent_v3[10000, 1]_time|tdg_iter_descent_v3[10000, 1]_size
153.24667096138|1526|1855.649882555008|1339|1827.6426148414612|1367|1816.563359260559|1342|1758.1199600696564|1379|1769.7356176376343|1368
157.03961825370789|1526|1854.5933573246002|1334|1816.4400136470795|1337|1853.017017841339|1360|1778.9702508449554|1378|1777.8635663986206|1344
151.06818866729736|1526|1827.5153319835663|1356|1831.1500399112701|1353|1838.9225673675537|1374|1762.1498563289642|1380|1777.1062049865723|1352
153.1429147720337|1526|1763.91738820076|1374|1828.77246260643|1349|1840.7318880558014|1343|1788.3137321472168|1387|1776.108235836029|1355
155.37815618515015|1526|1781.4039890766144|1348|1805.9339835643768|1334|1728.6633205413818|1357|1745.4386308193207|1399|1783.2810859680176|1350
153.4662480354309|1526|1837.9953308105469|1363|1803.6385791301727|1356|1845.1332285404205|1352|1787.6045455932617|1382|1752.8444004058838|1365
151.81567072868347|1526|1814.6545383930206|1368|1807.246301651001|1351|1809.8216688632965|1352|1772.6272864341736|1372|1751.164500951767|1341
152.80643892288208|1526|1807.6743075847626|1359|1810.731879234314|1343|1823.2145674228668|1364|1764.234407901764|1367|1711.753650188446|1349
150.32061982154846|1526|1823.2911751270294|1355|1833.3455231189728|1345|1841.3920068740845|1344|1772.1391894817352|1387|1714.3418939113617|1365
150.52918696403503|1526|1807.4017488956451|1346|1837.7649009227753|1362|1833.5069463253021|1340|1774.3783218860626|1393|1661.1955833435059|1364
152.06964135169983|1526|1824.9329154491425|1333|1820.459725856781|1348|1826.3419954776764|1340|1641.5041165351868|1355|1705.198040008545|1349
152.05045342445374|1526|1782.1263718605042|1348|1800.1399309635162|1348|1819.8388690948486|1350|1755.9766299724579|1393|1698.8686482906342|1345
151.28112983703613|1526|1771.4478073120117|1361|1825.0958909988403|1358|1816.5878059864044|1367|1644.9128031730652|1390|1706.6159405708313|1357
153.34008979797363|1526|1765.5169794559479|1370|1813.0245440006256|1347|1813.5173094272614|1359|1727.020067691803|1414|1692.3091480731964|1363
157.80840253829956|1526|1755.6157109737396|1354|1787.8716208934784|1364|1801.5254075527191|1343|1755.3679730892181|1387|1718.760124206543|1359
153.85536456108093|1526|1760.1322059631348|1352|1816.0370037555695|1356|1818.3261568546295|1369|1764.8837933540344|1370|1721.3042781352997|1347
151.73562908172607|1526|1743.9207401275635|1359|1795.9449508190155|1361|1814.807300567627|1340|1737.643604516983|1411|1701.7414345741272|1345
151.72129249572754|1526|1776.0682077407837|1336|1753.2270958423615|1358|1784.0195620059967|1341|1744.5395109653473|1381|1712.6397111415863|1360
150.3803834915161|1526|1743.1965644359589|1361|1823.924471616745|1334|1852.6355257034302|1355|1774.468428850174|1393|1721.661653995514|1362
151.12020802497864|1526|1755.0868072509766|1347|1788.5678341388702|1360|1829.061737537384|1348|1759.567280292511|1386|1730.4395751953125|1369
