tdg_time|tdg_size|tdg_iter_descent[10000, 1]_time|tdg_iter_descent[10000, 1]_size|tdg_iter_descent[10000, 2]_time|tdg_iter_descent[10000, 2]_size|tdg_iter_descent[10000, 5]_time|tdg_iter_descent[10000, 5]_size|tdg_iter_descent_v2[10000, 1]_time|tdg_iter_descent_v2[10000, 1]_size|tdg_iter_descent_v3[10000, 1]_time|tdg_iter_descent_v3[10000, 1]_size
177.31659698486328|582|519.2810864448547|389|535.8989777565002|366|498.1451425552368|407|496.4235134124756|365|503.3998370170593|356
165.54422783851624|582|529.4971597194672|366|524.0989875793457|387|502.2508623600006|376|497.4759523868561|347|488.0189971923828|422
165.6173496246338|582|534.7118189334869|376|514.9558172225952|393|518.3008508682251|365|506.7755150794983|377|511.805828332901|389
171.92863154411316|582|521.4790720939636|367|529.729786157608|409|501.70727133750916|394|500.2856786251068|383|501.64057445526123|379
161.06719875335693|582|518.5557477474213|377|522.2864215373993|398|513.3974702358246|383|513.7230272293091|359|492.7368998527527|377
162.91976737976074|582|511.5545723438263|383|513.0292484760284|391|528.379292011261|374|515.395747423172|371|526.9823095798492|357
166.97002696990967|582|515.3725626468658|390|515.6339287757874|393|516.7478301525116|385|481.74875926971436|392|499.61632227897644|397
163.4257209300995|582|510.4802165031433|369|517.7532477378845|379|518.3909513950348|368|483.9341022968292|409|499.7131133079529|377
161.33165335655212|582|506.7032904624939|382|502.0954999923706|394|523.4720003604889|374|487.43489384651184|390|500.6977937221527|403
170.6080503463745|582|508.5122573375702|388|532.3580741882324|371|509.36899876594543|419|478.7708795070648|382|505.50539231300354|413
167.23871874809265|582|497.2911195755005|369|498.0258672237396|397|525.7874186038971|377|494.5113079547882|370|508.5258345603943|388
163.5840539932251|582|508.3660318851471|409|518.3956544399261|414|516.6129469871521|403|483.75699639320374|389|517.0859770774841|390
170.77021622657776|582|508.581175327301|390|501.66003799438477|388|515.9065673351288|370|472.68766498565674|391|502.5934433937073|380
159.4728343486786|582|505.64299964904785|385|511.5324194431305|357|515.5059320926666|375|499.14342856407166|381|506.14864206314087|392
157.44177985191345|582|519.5748066902161|368|513.6989641189575|381|519.9929487705231|384|503.95062232017517|378|495.7380554676056|367
164.36582446098328|582|511.86846899986267|375|510.2962341308594|350|505.5034909248352|404|485.8199472427368|370|501.3888747692108|382
160.26031494140625|582|520.1719107627869|394|501.55957674980164|347|496.9657323360443|392|477.44612169265747|365|511.42216753959656|369
158.14654445648193|582|518.1939933300018|393|502.3325490951538|383|503.77408266067505|390|493.861496925354|385|513.8576984405518|355
167.53502440452576|582|503.4740777015686|362|498.11088466644287|395|507.44864082336426|382|487.0141091346741|338|479.8369014263153|381
163.87242150306702|582|524.751068353653|394|521.1290016174316|377|512.4616920948029|380|490.26679491996765|368|493.4804108142853|367
