tdg_time|tdg_size|tdg_iter_descent[10000, 1]_time|tdg_iter_descent[10000, 1]_size|tdg_iter_descent[10000, 2]_time|tdg_iter_descent[10000, 2]_size|tdg_iter_descent[10000, 5]_time|tdg_iter_descent[10000, 5]_size|tdg_iter_descent_v2[10000, 1]_time|tdg_iter_descent_v2[10000, 1]_size|tdg_iter_descent_v3[10000, 1]_time|tdg_iter_descent_v3[10000, 1]_size
570.8252522945404|3380|1484.4629426002502|3078|1439.6558349132538|3110|1422.7151362895966|3094|1421.4260890483856|3088|1402.7389035224915|3124
562.2031960487366|3380|1457.4819512367249|3098|1427.4363639354706|3095|1416.9301216602325|3093|1422.1120357513428|3091|1397.9460039138794|3115
563.6531901359558|3380|1432.5691335201263|3106|1414.7362110614777|3091|1410.8732578754425|3094|1407.3529374599457|3076|1429.1503264904022|3097
565.2907264232635|3380|1428.152429819107|3133|1418.3879654407501|3104|1434.2827847003937|3108|1417.0167708396912|3096|1429.5814328193665|3133
550.0241770744324|3380|1432.8201320171356|3098|1423.8217723369598|3090|1432.4050905704498|3094|1413.8253166675568|3070|1387.2501447200775|3087
555.3755106925964|3380|1456.3542606830597|3078|1426.622130393982|3099|1438.2600791454315|3093|1414.2095682621002|3077|1382.7786583900452|3102
549.5870575904846|3380|1450.1396198272705|3086|1421.5536980628967|3106|1436.2428576946259|3097|1413.1925933361053|3096|1377.8149359226227|3089
547.355288028717|3380|1456.5295491218567|3081|1403.7237467765808|3118|1433.9986681938171|3112|1415.5829203128815|3077|1379.4535636901855|3096
551.8035259246826|3380|1421.412338733673|3107|1426.7813754081726|3105|1431.8860721588135|3113|1413.4898889064789|3100|1379.4253423213959|3094
546.2266335487366|3380|1430.5877182483673|3101|1423.8000190258026|3097|1415.635464668274|3087|1426.0543899536133|3078|1380.5246183872223|3113
549.9838907718658|3380|1422.8089978694916|3094|1423.2358684539795|3094|1421.4535648822784|3101|1420.6583654880524|3077|1370.266577243805|3090
549.9585061073303|3380|1417.5444550514221|3095|1420.580141544342|3126|1419.5645425319672|3115|1412.8118391036987|3090|1367.506175994873|3124
544.2490730285645|3380|1426.2576253414154|3089|1410.3964984416962|3110|1409.5529901981354|3097|1407.6077737808228|3083|1348.7511229515076|3088
553.3467817306519|3380|1444.9547853469849|3114|1412.305200099945|3104|1431.0580251216888|3086|1408.5691316127777|3085|1354.3263475894928|3103
548.5193748474121|3380|1427.3981261253357|3090|1410.3855800628662|3091|1406.9630143642426|3100|1412.8718967437744|3059|1350.44176197052|3101
550.2369513511658|3380|1396.1146500110626|3098|1416.7919142246246|3082|1420.5498893260956|3101|1412.0728588104248|3080|1352.4828433990479|3099
558.4398999214172|3380|1383.7459726333618|3106|1416.6831760406494|3105|1407.773065328598|3089|1422.1455264091492|3076|1362.1829113960266|3088
546.926894903183|3380|1388.8209674358368|3096|1409.7143592834473|3102|1410.97154712677|3095|1418.816520690918|3080|1367.5645198822021|3095
553.370854139328|3380|1386.2400579452515|3102|1410.981053352356|3113|1405.4585599899292|3079|1415.8333766460419|3095|1366.447746515274|3109
555.7705769538879|3380|1390.6144602298737|3097|1414.1309571266174|3101|1407.7779953479767|3095|1431.101657152176|3071|1375.0332462787628|3092
