exact_sat_time|exact_sat_size|exact_sat_with_enhance_solution[10000]_time|exact_sat_with_enhance_solution[10000]_size
4204.050490856171|16|None|None
3851.241963148117|16|None|None
3836.5835721492767|16|None|None
3846.827305316925|16|None|None
3870.649919271469|16|None|None
3853.726788043976|16|None|None
3790.0629670619965|16|None|None
3773.0991747379303|16|None|None
3748.904330968857|16|None|None
3765.079135656357|16|None|None
3715.7570340633392|16|None|None
3616.0271632671356|16|None|None
3604.4961075782776|16|None|None
3597.619773387909|16|None|None
3610.402735710144|16|None|None
3595.739979028702|16|None|None
None|None|None|None
None|None|None|None
None|None|None|None
None|None|None|None
