best_fit=3199, k=200
best_fit=3199, k=200
best_fit=3199, k=200
best_fit=3199, k=200
best_fit=3199, k=200
best_fit=3199, k=200
best_fit=3199, k=200
best_fit=3199, k=200
best_fit=3200, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3201, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3202, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3204, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3205, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
best_fit=3207, k=200
