TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.52253365516663, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.45689582824707, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.41443157196045, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.53524947166443, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.70970487594604, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.56988644599915, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.38283944129944, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.92434859275818, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.95580196380615, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.54618692398071, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=75.52899289131165, ts_size=200, ts=['1275', '1827', '3613', '3364', '4815', '1168', '20', '2798', '3715', '478', '1191', '1369', '1229', '3913', '2596', '1365', '1359', '1685', '4741', '2055', '4769', '2638', '769', '693', '146', '180', '2244', '528', '370', '2345', '5220', '2288', '1556', '65', '4004', '1030', '2114', '169', '3810', '922', '1626', '4721', '2094', '1424', '1644', '1856', '4434', '1648', '5096', '4041', '192', '1992', '125', '1675', '1534', '606', '1108', '804', '335', '3571', '1478', '2907', '1989', '3312', '3285', '2314', '1765', '4344', '4107', '3615', '6071', '1749', '3095', '521', '5168', '3865', '3771', '6046', '55', '1200', '3815', '5537', '3066', '667', '1040', '2948', '2199', '1814', '226', '2375', '1636', '1698', '2828', '859', '4628', '680', '3728', '1742', '49', '1890', '2498', '4880', '5291', '4196', '2384', '886', '4689', '1396', '2391', '1922', '490', '2890', '5406', '2039', '5788', '3163', '2654', '2293', '786', '1198', '2451', '1743', '736', '1398', '1305', '5572', '3933', '2942', '2049', '1181', '659', '3813', '686', '3232', '1307', '948', '2048', '4206', '3475', '3115', '4093', '390', '4369', '5154', '1620', '2871', '1466', '4740', '3926', '4109', '3716', '1382', '4324', '3310', '4781', '1758', '4293', '963', '5285', '4285', '3200', '193', '108', '576', '1792', '382', '2646', '5504', '3178', '151', '2666', '5645', '2653', '3179', '1974', '5545', '1659', '1994', '3930', '1877', '2523', '3016', '1462', '3866', '4891', '1815', '3981', '136', '196', '1882', '4159', '3797', '303', '4230', '1026', '1751', '1562', '3846', '1318', '4319']
