tdg_1+1[10000]_time|tdg_1+1[10000]_size|tdg_time|tdg_size|tdg_doerr1+1[3;10000]_time|tdg_doerr1+1[3;10000]_size|tdg_iter_descent[10000, 1]_time|tdg_iter_descent[10000, 1]_size|tdg_iter_descent[10000, 2]_time|tdg_iter_descent[10000, 2]_size|tdg_iter_descent[10000, 5]_time|tdg_iter_descent[10000, 5]_size|tdg_iter_descent_v2[10000, 1]_time|tdg_iter_descent_v2[10000, 1]_size|tdg_iter_descent_v3[10000, 1]_time|tdg_iter_descent_v3[10000, 1]_size|tdg_iter_descent_v4[10000, 1]_time|tdg_iter_descent_v4[10000, 1]_size|tdg_iter_descent_v5[10000, 1]_time|tdg_iter_descent_v5[10000, 1]_size|tdg_iter_descent_v6[10000, 1]_time|tdg_iter_descent_v6[10000, 1]_size
327.7562506198883|381|172.54719972610474|437|281.640563249588|381|385.40243887901306|307|384.22333431243896|305|378.77113151550293|306|361.2999095916748|293|363.3548409938812|313|364.94773602485657|312|363.1097455024719|314|266.1668379306793|381
331.6991751194|383|167.62365579605103|437|284.89718222618103|383|380.7865061759949|299|372.49594497680664|334|374.61683320999146|334|348.2894814014435|290|366.09020376205444|315|375.2643299102783|313|371.57688665390015|340|270.6176013946533|383
332.6562604904175|369|171.41933584213257|437|270.43305134773254|384|386.48862195014954|344|380.34401392936707|303|370.7593629360199|327|362.5573077201843|339|361.4892826080322|303|370.1939916610718|304|376.1683475971222|330|279.622704744339|369
331.2749638557434|378|167.93488717079163|437|278.0947265625|379|397.13386964797974|295|388.4699459075928|291|381.49352765083313|324|367.92568373680115|347|368.65737557411194|335|382.01693511009216|281|367.4014148712158|324|281.2702100276947|378
323.97485637664795|380|169.8379180431366|437|275.2004134654999|379|369.4695613384247|320|376.45518136024475|345|370.8177602291107|316|366.19224190711975|295|369.7155919075012|317|369.23570680618286|318|369.3605754375458|333|274.66063618659973|380
341.6311991214752|370|165.81465911865234|437|277.3551654815674|379|383.2168643474579|318|389.6630883216858|301|378.8191912174225|306|352.3116867542267|322|366.3044195175171|316|380.247022151947|279|372.6885464191437|296|274.22801899909973|370
321.1024241447449|381|167.81302046775818|437|274.84733629226685|370|383.223201751709|297|393.1667129993439|314|379.5674798488617|304|360.14783453941345|290|371.3523054122925|334|376.5769383907318|286|368.40854835510254|314|277.46643471717834|381
330.9918644428253|370|165.33741354942322|437|278.777547121048|386|384.7461202144623|298|375.65916442871094|335|373.2103462219238|308|365.84378957748413|297|372.2468400001526|312|377.82895159721375|295|364.21300530433655|307|276.8182668685913|370
328.8634977340698|375|167.93524551391602|437|280.9287385940552|381|378.12660670280457|306|375.1479949951172|329|375.4277219772339|293|359.3398723602295|298|379.5081090927124|310|378.62522435188293|303|366.89765334129333|333|271.257554769516|375
340.329541683197|377|166.66774129867554|437|282.32162404060364|370|397.6297106742859|300|385.7957615852356|310|369.9338011741638|325|364.92487597465515|309|370.46956276893616|311|383.06619119644165|321|365.86788177490234|300|269.4965991973877|377
329.0684263706207|369|170.02215886116028|437|278.28810238838196|373|384.0518596172333|314|377.9200670719147|308|371.2071611881256|328|360.40481185913086|306|373.38380765914917|322|386.59359216690063|301|367.00735306739807|336|269.37356638908386|369
332.6184332370758|390|165.9420244693756|437|282.21960735321045|376|390.91100335121155|319|384.3336203098297|315|373.739511013031|306|356.46573209762573|286|381.41585755348206|298|382.4963846206665|292|375.85511302948|319|273.5179615020752|390
325.89692974090576|373|164.05695390701294|437|279.1694836616516|370|375.41564559936523|351|371.0042600631714|314|386.25155901908875|319|352.6665325164795|326|366.262086391449|308|378.6572849750519|325|375.56149768829346|316|262.41247367858887|373
327.82090616226196|385|166.8425178527832|437|273.0402750968933|377|379.1561279296875|329|385.13498044013977|318|373.141081571579|347|365.5617072582245|290|370.4622139930725|330|363.253221988678|327|355.24812722206116|318|249.27785992622375|385
320.99721217155457|384|165.29594683647156|437|285.30190443992615|368|385.62154245376587|333|379.34015464782715|316|381.0874845981598|310|357.18310713768005|294|366.0404489040375|308|355.75948333740234|330|361.3466422557831|337|242.77562284469604|384
327.5238585472107|373|164.9293236732483|437|283.60293459892273|382|391.5897183418274|299|383.8243260383606|311|386.23347425460815|306|356.44492053985596|312|362.79817724227905|317|377.3073396682739|307|345.54593229293823|339|240.97073793411255|373
322.8899562358856|373|168.05815768241882|437|269.8082103729248|368|379.5784857273102|314|366.62129259109497|315|365.1637167930603|316|363.0039927959442|304|372.7442467212677|345|383.6427335739136|295|366.7818603515625|310|239.85796546936035|373
321.1401135921478|375|167.2088041305542|437|284.0684199333191|369|379.7786457538605|326|364.13404273986816|323|356.5057907104492|318|355.9195976257324|294|356.83160376548767|299|366.3436825275421|290|367.1220700740814|310|240.68767595291138|375
319.7575271129608|371|171.3673574924469|437|280.10946321487427|368|385.5906443595886|333|377.37672662734985|332|380.4173369407654|297|347.8947331905365|335|368.6096670627594|305|374.4474792480469|336|337.69000601768494|333|240.0925738811493|371
329.5427086353302|368|164.64848589897156|437|280.7711672782898|377|372.8039221763611|362|377.3646821975708|322|364.34639859199524|327|365.1530752182007|309|374.00020265579224|300|379.16047644615173|313|331.09077548980713|306|240.374165058136|368
