tdg_1+1[10000]_time|tdg_1+1[10000]_size|tdg_time|tdg_size|tdg_doerr1+1[3;10000]_time|tdg_doerr1+1[3;10000]_size|tdg_iter_descent[10000, 1]_time|tdg_iter_descent[10000, 1]_size|tdg_iter_descent[10000, 2]_time|tdg_iter_descent[10000, 2]_size|tdg_iter_descent[10000, 5]_time|tdg_iter_descent[10000, 5]_size|tdg_iter_descent_v2[10000, 1]_time|tdg_iter_descent_v2[10000, 1]_size|tdg_iter_descent_v3[10000, 1]_time|tdg_iter_descent_v3[10000, 1]_size|tdg_iter_descent_v4[10000, 1]_time|tdg_iter_descent_v4[10000, 1]_size|tdg_iter_descent_v5[10000, 1]_time|tdg_iter_descent_v5[10000, 1]_size|tdg_iter_descent_v6[10000, 1]_time|tdg_iter_descent_v6[10000, 1]_size
325.4824638366699|505|169.11866855621338|582|286.44961810112|486|387.530641078949|396|380.50249218940735|413|394.7866864204407|415|373.58451437950134|375|371.700870513916|452|375.80182790756226|389|386.3998010158539|399|278.57818508148193|505
318.63938784599304|483|164.76120519638062|582|283.8417978286743|492|397.592915058136|392|411.7828583717346|405|386.56674885749817|452|366.72983264923096|422|371.50736927986145|437|390.603994846344|402|386.78565764427185|416|281.359028339386|483
325.07745695114136|477|169.12760710716248|582|269.9733340740204|496|396.546772480011|397|409.50684547424316|380|405.86147141456604|438|371.6684217453003|392|387.4379189014435|435|383.8243007659912|382|384.514808177948|400|287.0686295032501|477
322.87271881103516|494|164.51041507720947|582|282.66076016426086|489|408.97453236579895|401|388.5453989505768|410|389.63075375556946|399|376.68171405792236|375|381.28597617149353|423|400.28277468681335|367|384.3958079814911|425|288.9507598876953|494
317.2251470088959|486|166.73039531707764|582|282.8657760620117|494|392.0324685573578|414|398.8964173793793|432|399.36929988861084|393|366.82594108581543|377|376.9908802509308|443|387.3775703907013|416|381.62757754325867|450|281.4728720188141|486
326.72535610198975|490|163.0872356891632|582|279.8296890258789|496|403.63643050193787|446|406.8387761116028|389|392.70006585121155|413|374.7495355606079|387|389.7423059940338|395|378.4560785293579|431|399.2775626182556|390|280.5173828601837|490
320.44984912872314|495|166.58340501785278|582|274.9306402206421|493|402.50397086143494|384|396.1128079891205|407|397.4775695800781|421|370.30732464790344|441|382.85929918289185|407|382.52110600471497|430|388.0253472328186|415|287.57812666893005|495
321.8854560852051|491|161.6935441493988|582|278.11210083961487|486|383.07055020332336|401|392.129576921463|423|387.21187806129456|419|367.1495933532715|410|381.67942094802856|387|390.1634695529938|382|383.2262089252472|403|283.444580078125|491
325.0146703720093|493|165.39817643165588|582|281.45179533958435|496|394.3083095550537|415|400.80174589157104|391|395.181111574173|449|376.8355209827423|404|387.7795135974884|419|389.09151792526245|393|394.21059107780457|407|277.5576910972595|493
328.7505474090576|482|163.24282360076904|582|275.9929690361023|478|393.2267053127289|471|397.63405752182007|431|392.4563467502594|399|374.84520411491394|371|396.35895323753357|435|390.0509603023529|392|383.9380645751953|426|277.80803537368774|482
324.5484871864319|482|168.0502734184265|582|281.46736335754395|477|397.30029559135437|395|406.0270473957062|385|385.39388847351074|395|377.97920179367065|367|377.02609395980835|411|403.7970144748688|365|379.5425057411194|422|279.4279568195343|482
315.23792004585266|501|162.43110013008118|582|285.58751034736633|488|394.1469712257385|425|399.9843108654022|414|396.14484763145447|399|372.70275354385376|432|388.3934876918793|399|401.31202030181885|381|398.9988625049591|406|280.1458520889282|501
319.55974078178406|500|162.9824821949005|582|281.50326228141785|499|385.1296989917755|422|394.2175507545471|384|385.9963495731354|385|371.84916591644287|434|386.5033104419708|402|385.4336824417114|449|400.91470289230347|415|266.2506124973297|500
321.7943811416626|489|161.77153897285461|582|270.5270929336548|499|392.2782235145569|452|410.63333320617676|391|385.0324561595917|427|377.9484589099884|387|378.33337688446045|420|398.44208121299744|406|379.0394513607025|422|257.20076060295105|489
323.27171421051025|496|164.4475293159485|582|287.2256979942322|485|407.6820125579834|408|405.3595986366272|402|381.99574756622314|386|390.7238359451294|380|389.8168513774872|411|389.4613387584686|375|371.5291848182678|399|243.0888659954071|496
317.990127325058|495|161.53564596176147|582|293.740966796875|493|398.3802635669708|394|398.1023898124695|381|372.69755506515503|404|378.98715591430664|411|383.49328327178955|383|398.2363488674164|375|370.39369654655457|450|249.7202112674713|495
320.5553205013275|480|166.79147577285767|582|277.4257664680481|490|386.4133439064026|411|400.90409684181213|418|380.5698869228363|410|379.7317068576813|419|379.3557872772217|403|384.7610709667206|407|357.3204963207245|390|248.7998104095459|480
314.8465943336487|497|163.10515022277832|582|281.7197585105896|478|409.4587469100952|402|397.2089157104492|390|389.56279468536377|426|379.68114376068115|382|388.88994550704956|383|392.4039297103882|370|369.91217589378357|377|246.0974223613739|497
315.0435938835144|487|169.0417468547821|582|283.28604459762573|485|400.5105652809143|399|395.68814277648926|394|365.6204581260681|397|375.05725955963135|438|380.9957449436188|404|395.81458282470703|396|351.7319836616516|444|244.12134718894958|487
320.7735085487366|484|162.1130576133728|582|281.7473232746124|487|387.43009400367737|418|390.1422483921051|407|391.4139013290405|413|367.90818095207214|387|384.6130840778351|379|391.6862151622772|387|356.67460799217224|413|242.95814490318298|484
