tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit|tdg_time|tdg_size|tdg_imp_fit
359.4336326122284|1206|2526|141.33164238929749|1206|2020
349.07816529273987|1206|2346|141.70937180519104|1206|2020
350.3254907131195|1206|2340|141.75237798690796|1206|2020
391.6396734714508|1206|2640|142.47507548332214|1206|2020
353.3580114841461|1206|2385|142.32904934883118|1206|2020
350.9529781341553|1206|2346|142.1876721382141|1206|2020
349.69521141052246|1206|2355|142.7325885295868|1206|2020
353.78742837905884|1206|2343|142.14112877845764|1206|2020
353.93059182167053|1206|2391|142.1409511566162|1206|2020
362.09909772872925|1206|2539|142.49101853370667|1206|2020
366.39617133140564|1206|2561|141.9848141670227|1206|2020
350.04417395591736|1206|2386|140.78038001060486|1206|2020
350.8307547569275|1206|2339|140.49956250190735|1206|2020
346.3483176231384|1206|2541|139.34297680854797|1206|2020
362.23556661605835|1206|2509|140.35033988952637|1206|2020
361.8260762691498|1206|2615|140.87397503852844|1206|2020
338.8315694332123|1206|2359|141.547101020813|1206|2020
343.7272982597351|1206|2371|139.7340795993805|1206|2020
353.539014339447|1206|2569|140.4665596485138|1206|2020
355.4583418369293|1206|2497|141.20942878723145|1206|2020
