tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit|tdg_time|tdg_size|tdg_imp_fit
241.68390345573425|1693|3786|592.676221370697|1693|3558
241.6899745464325|1693|3817|610.2961003780365|1693|3558
242.49248456954956|1693|3787|592.5458631515503|1693|3558
243.4512255191803|1693|3756|599.266147851944|1693|3558
243.86912322044373|1693|3809|588.6681172847748|1693|3558
241.42170524597168|1693|3808|598.310133934021|1693|3558
239.97401237487793|1693|3807|589.887012720108|1693|3558
235.18203854560852|1693|3810|601.9436738491058|1693|3558
235.64512872695923|1693|3812|584.9204692840576|1693|3558
236.76694440841675|1693|3778|597.7732281684875|1693|3558
234.46308159828186|1693|3781|588.3900032043457|1693|3558
235.86109399795532|1693|3801|596.1477425098419|1693|3558
238.03437972068787|1693|3803|586.9195029735565|1693|3558
240.7074875831604|1693|3825|603.1442542076111|1693|3558
238.0903296470642|1693|3790|590.9889543056488|1693|3558
234.79612588882446|1693|3823|599.2197287082672|1693|3558
217.7481768131256|1693|3779|580.6346759796143|1693|3558
213.83335065841675|1693|3828|584.7177498340607|1693|3558
207.1928780078888|1693|3829|578.3720743656158|1693|3558
201.3059947490692|1693|3807|562.6157920360565|1693|3558
