tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit|tdg_time|tdg_size|tdg_imp_fit
362.0450396537781|1343|2445|147.2969331741333|1343|2020
365.9344892501831|1343|2459|148.40838837623596|1343|2020
368.1198699474335|1343|2452|148.62680172920227|1343|2020
358.0642395019531|1343|2366|150.38864970207214|1343|2020
356.445054769516|1343|2379|148.93900895118713|1343|2020
365.77884316444397|1343|2401|149.41792273521423|1343|2020
363.20591592788696|1343|2412|148.2153742313385|1343|2020
369.60681319236755|1343|2489|148.57356119155884|1343|2020
369.20656275749207|1343|2405|149.04067540168762|1343|2020
362.288357257843|1343|2444|150.66367602348328|1343|2020
369.7204351425171|1343|2472|147.6503722667694|1343|2020
362.481064081192|1343|2390|150.15035343170166|1343|2020
356.465576171875|1343|2372|146.66821789741516|1343|2020
362.56281638145447|1343|2476|146.74784636497498|1343|2020
358.23229932785034|1343|2395|146.83552289009094|1343|2020
361.61248254776|1343|2402|149.93207788467407|1343|2020
351.4837348461151|1343|2386|146.11285305023193|1343|2020
365.7439305782318|1343|2451|148.37451481819153|1343|2020
357.7349932193756|1343|2377|146.05516529083252|1343|2020
355.59145498275757|1343|2442|148.71266722679138|1343|2020
