tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit|tdg_time|tdg_size|tdg_imp_fit
243.51610469818115|1613|3791|567.639377117157|1613|3558
245.89193725585938|1613|3813|573.3482723236084|1613|3558
243.52807211875916|1613|3783|569.7107791900635|1613|3558
244.18769001960754|1613|3759|565.6323435306549|1613|3558
246.22273683547974|1613|3813|565.312164068222|1613|3558
243.01296305656433|1613|3806|566.0269985198975|1613|3558
241.74001288414001|1613|3823|564.3821625709534|1613|3558
235.37334942817688|1613|3795|563.9056961536407|1613|3558
243.6246213912964|1613|3800|564.6900944709778|1613|3558
235.38043880462646|1613|3795|561.8771433830261|1613|3558
235.42996883392334|1613|3802|562.6893503665924|1613|3558
233.93290066719055|1613|3774|563.6090304851532|1613|3558
239.05574369430542|1613|3777|564.5136244297028|1613|3558
240.78778529167175|1613|3819|568.8362920284271|1613|3558
240.3751118183136|1613|3789|569.7899858951569|1613|3558
230.225195646286|1613|3796|567.9330379962921|1613|3558
225.12771844863892|1613|3826|560.9774816036224|1613|3558
209.42530059814453|1613|3808|556.2594525814056|1613|3558
207.84052324295044|1613|3811|550.7757186889648|1613|3558
201.38183665275574|1613|3799|554.7675535678864|1613|3558
