tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit|tdg_time|tdg_size|tdg_imp_fit
59.37053394317627|910|2759|23.166679859161377|910|2621
59.074790954589844|910|2751|22.766085863113403|910|2621
59.00996708869934|910|2757|22.79457926750183|910|2621
58.96230125427246|910|2744|22.995240211486816|910|2621
59.11733055114746|910|2765|23.062999963760376|910|2621
59.756763219833374|910|2761|22.902624130249023|910|2621
59.568023920059204|910|2757|22.91801619529724|910|2621
59.958407163619995|910|2752|23.17429518699646|910|2621
59.43577003479004|910|2759|23.011374711990356|910|2621
60.25481843948364|910|2758|22.911935567855835|910|2621
60.26374793052673|910|2778|22.896567821502686|910|2621
60.26053714752197|910|2777|23.32650351524353|910|2621
59.84833645820618|910|2745|22.91038155555725|910|2621
59.420262813568115|910|2753|22.973692655563354|910|2621
60.35197114944458|910|2760|23.24760627746582|910|2621
60.343775510787964|910|2762|23.181875705718994|910|2621
60.410046339035034|910|2751|22.857253551483154|910|2621
60.246387004852295|910|2778|22.958254098892212|910|2621
58.70723032951355|910|2759|23.264063119888306|910|2621
59.047281980514526|910|2789|22.987674713134766|910|2621
