tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit|tdg_time|tdg_size|tdg_imp_fit
95.82077550888062|429|5044|141.8350396156311|429|4363
96.70347905158997|429|5040|143.69833183288574|429|4363
97.10554599761963|429|5005|143.87215900421143|429|4363
99.4860110282898|429|5347|144.6915066242218|429|4363
98.57051134109497|429|5156|144.86062026023865|429|4363
99.76778507232666|429|5143|145.45782613754272|429|4363
97.13862252235413|429|5247|146.15829968452454|429|4363
98.30832624435425|429|5040|144.55115270614624|429|4363
97.89868998527527|429|5151|144.95564079284668|429|4363
96.89275574684143|429|5158|145.00505185127258|429|4363
98.07947063446045|429|5186|143.31991958618164|429|4363
97.17797207832336|429|5071|142.42422437667847|429|4363
99.38021159172058|429|5034|142.46969628334045|429|4363
99.2621066570282|429|5217|141.33815002441406|429|4363
97.9300696849823|429|5026|142.82439017295837|429|4363
100.11204051971436|429|5124|144.4454562664032|429|4363
97.88931846618652|429|5045|143.20235013961792|429|4363
100.71145844459534|429|5051|143.37009692192078|429|4363
99.32761883735657|429|5085|142.5723614692688|429|4363
96.63798308372498|429|5163|143.46330404281616|429|4363
