tdg_iter_descent_IMP[5000, 1]_time|tdg_iter_descent_IMP[5000, 1]_size|tdg_iter_descent_IMP[5000, 1]_imp_fit|tdg_time|tdg_size|tdg_imp_fit
51.797855854034424|200|3688|75.52253365516663|200|3158
52.670509815216064|200|3774|75.45689582824707|200|3158
54.74001097679138|200|4032|75.41443157196045|200|3158
53.87963056564331|200|4030|75.53524947166443|200|3158
52.57860279083252|200|3919|75.70970487594604|200|3158
54.5031635761261|200|3938|75.56988644599915|200|3158
53.50537872314453|200|4045|75.38283944129944|200|3158
55.333768129348755|200|3930|75.92434859275818|200|3158
53.65086078643799|200|3985|75.95580196380615|200|3158
54.358824253082275|200|3872|75.54618692398071|200|3158
52.528021574020386|200|3960|75.52899289131165|200|3158
53.256038188934326|200|4038|75.84689378738403|200|3158
52.698546171188354|200|4059|76.06013345718384|200|3158
56.18837857246399|200|4218|76.01793551445007|200|3158
53.58451771736145|200|3745|75.89109373092651|200|3158
53.96901535987854|200|3859|75.57022190093994|200|3158
54.047717571258545|200|3812|75.9329092502594|200|3158
53.910054206848145|200|3864|75.73033952713013|200|3158
55.17793130874634|200|4151|75.92566084861755|200|3158
53.53411412239075|200|3916|75.94767570495605|200|3158
