tdg_iter_descent[5000, 5]
time,|TSS|,sol
240.69713950157166,429,3434&1027&1878&4639&2940&2437&1729&1945&27&144&3366&6039&2771&337&4033&2789&512&4982&2690&6223&3969&2487&5260&4323&7197&956&1152&1154&3744&4325&5246&4298&6468&5561&3771&1432&7578&3729&2936&4103&983&3592&4294&3335&7354&1672&5326&694&3356&2654&353&3655&1205&3214&6321&3080&1348&2485&499&3242&1674&1547&7421&307&1992&195&383&3581&4635&2725&7539&1330&5510&4611&2686&2912&1414&5077&3579&2817&1095&3966&7154&5726&4283&3758&4519&3126&7203&5430&1890&2087&2900&2452&2781&159&5825&4338&6313&411&2880&1864&5699&557&2380&5877&5685&284&1448&244&2171&1388&730&7765&4986&2829&1427&6964&8126&3419&790&6046&115&2823&1730&2625&3859&1869&2574&529&2519&2762&607&4154&2315&1990&880&173&3804&1024&3019&4896&1889&4043&3120&5413&4805&1920&6344&7849&1807&2623&5988&2598&2893&948&5816&28&3927&3104&3740&6163&234&5501&3936&3537&7623&380&5565&5188&1231&4092&588&3857&7503&1513&5241&1290&698&1273&3121&854&6693&5609&3636&3112&2818&903&1311&3658&1384&6365&759&2667&3288&2938&6657&178&3351&4630&6714&785&4949&3398&4844&2217&1247&5929&5974&3851&6700&5765&7514&5299&5784&88&2824&1660&5126&4293&6166&5399&4479&5409&3417&4887&5812&4835&558&4285&1282&1732&198&2244&1604&1157&4951&4745&249&6101&8614&0&390&687&5478&6962&22&1974&495&6471&2429&7420&4566&4823&112&420&1581&6027&3275&4621&816&1886&3402&1935&2510&3533&6460&3608&4937&1659&4690&6479&215&569&6262&3041&5105&426&2336&6073&4132&2861&2613&7020&89&6074&2149&5131&1942&4161&564&3221&5522&4183&1527&1207&5482&7537&1194&6606&1647&6524&1304&1260&2722&2222&157&1016&1303&1392&2534&4894&1713&2173&6836&111&352&3906&1266&1540&945&5341&184&3128&4398&672&5885&666&7671&1791&5683&2626&2986&3713&1927&1498&1618&6889&2552&1458&7562&5270&4151&1268&1697&2302&1219&6861&6331&2111&5178&7533&2713&2146&44&1538&72&3596&1143&4105&1988&2352&373&1437&2190&350&191&2499&292&2115&2147&824&3071&5704&1627&54&462&2321&7117&634&5227&2558&988&6494&6221&7757&341&806&4322&1833&1426&915&4525&876&2612&7246&1116&3156&1404&1480&579&148&6844&1399&401&169&889&2408&655&2415&1537&2097&143&175&7378&3536&1728&4692&1246&553&2840&2642&2057&5764&6556&5872&3139&446&417
242.52136850357056,427,43&3434&1027&1878&200&4056&2437&1729&8246&1945&27&3366&6039&2771&337&1002&2789&512&4982&3991&4972&3969&2487&839&5260&4330&6531&7197&956&5076&5767&39&1152&1154&964&4325&3220&4298&6468&5915&5561&3771&1432&7578&2936&4093&983&4294&2002&815&7193&694&5604&5773&353&3655&3668&1205&2654&3214&7262&6321&3080&499&3242&4362&1674&1547&7421&4375&4888&307&1992&1281&195&2537&3581&4635&2725&5096&1111&188&2144&870&1330&1946&6316&916&2525&2686&1631&1414&4194&3579&2817&5077&3966&3509&368&3758&3126&2590&5430&1890&1089&159&2880&5713&1864&2380&5877&244&80&6635&2171&730&7765&3349&2957&219&7057&4986&2077&5032&2829&6115&5185&1427&6964&4413&3419&790&521&115&2823&3559&2625&3859&1869&2762&607&2539&1258&2315&688&1990&880&173&2449&3019&3932&298&384&6954&1981&1920&6344&7849&1132&749&3889&2893&1203&948&5816&3927&3104&5291&221&7014&234&798&5501&3936&1231&3022&3857&7503&4554&1513&4010&5241&408&698&1290&2215&3121&854&6693&5355&5609&3636&3989&3112&4228&903&1311&5780&1384&1441&5507&6365&1828&2667&7941&6657&4961&178&3311&4630&4949&3398&4844&1247&5974&6700&5765&7514&139&5784&2824&5126&3623&4293&5399&2391&8534&4479&5409&3417&3037&4887&5812&1217&558&1985&1732&5671&198&1604&1157&4360&4951&4745&6101&0&390&687&5715&6962&1974&2429&4823&112&420&1581&4621&2649&1886&2638&1858&3402&2887&1935&3608&1420&532&6256&1659&215&5610&6262&3866&3041&3475&5105&2336&4132&4798&2613&89&2665&6074&2149&1942&3732&3194&1249&4161&3221&1527&4748&1207&3006&2081&1194&1647&3648&6845&2722&2222&157&1303&1392&5371&1641&4894&2173&6836&4740&1713&111&352&34&1359&1266&1540&184&3128&672&1791&5683&1800&2986&3713&5483&406&1498&1618&6889&2552&1458&732&7562&4151&1268&1697&2302&1219&6861&2092&1792&2111&7533&2713&2146&1538&204&3596&5302&1988&2352&373&1437&2190&2573&350&488&2499&292&2115&824&3071&5704&6361&1627&54&2321&559&634&2301&6141&369&5227&2558&988&6494&6221&341&806&5775&1617&1656&1426&1487&2612&876&1116&3156&1404&579&148&6844&401&169&1178&2408&655&2415&4216&1701&2097&5680&465&2365&4959&175&7378&2921&5859&3536&1728&5191&1246&553&2642&6490&2006&5764&5872&1603&6017&1436&3139&2577&4266&417
242.21382522583008,434,3434&1027&4639&826&8246&1945&27&6039&3366&2771&337&1002&2789&512&4982&967&7220&2487&4330&7197&39&1154&4325&6468&5561&3771&1432&4193&7578&4103&983&850&7354&2002&7193&694&1672&1533&1181&353&3655&1205&3668&3356&2654&7262&434&3214&6321&3080&499&878&4362&1674&1547&7421&4375&4888&307&1992&1281&195&1176&2537&1628&4635&3581&1111&1330&6316&4611&2686&951&1631&901&1414&5077&3579&1095&4496&6216&7154&3758&2590&7203&5430&7279&1890&4307&2900&159&2781&4338&411&2880&1947&1864&5699&2380&5877&5174&284&6574&5685&80&2171&730&7765&2957&2839&4986&2829&6115&3673&1427&6964&4413&3419&790&2823&2625&5157&1869&4471&2574&529&2762&4850&607&2539&5114&4154&688&1990&173&1024&3019&4896&298&1889&4043&6954&3120&1195&731&1981&4805&1920&7556&1807&2623&3613&2695&3396&948&5816&28&1218&719&1471&3927&221&3740&7014&234&6163&3322&5501&3936&6448&5565&1231&588&3022&3857&7503&1513&3000&1290&1273&3121&854&1138&6693&5355&3636&3112&4228&1989&3948&5056&3658&1384&1441&759&2667&3288&6657&178&7125&4630&785&4949&3398&2217&1247&4744&5929&5974&5765&7514&5299&139&88&5784&4749&5126&3623&2704&4479&4728&5409&3417&3037&5812&4835&558&4285&1282&1732&5671&198&5787&1157&4951&4745&6101&301&390&687&5530&6962&1974&495&6471&2429&4823&4566&2319&112&420&1581&2649&2733&1886&3402&2887&471&2510&3533&532&1659&3276&2492&4690&799&215&5249&5610&6262&3475&3041&5105&1939&2336&5111&426&6073&4798&4132&1119&2613&6711&7020&89&2665&6074&2149&3732&4161&564&3221&4183&1527&3431&1207&5482&7537&3006&2081&6606&805&1647&1304&327&2222&1016&4894&2173&6836&4740&111&352&34&1359&3906&1266&1540&184&3128&4398&672&5885&2348&1791&4698&5683&3887&2986&3713&4251&3868&1927&2431&1618&6889&2552&1458&5889&1748&1146&7838&4151&1268&1697&4055&2302&1219&6637&2092&6861&6331&894&3547&44&300&125&1538&72&204&3596&4105&1988&373&1437&2343&2190&7543&4971&191&488&3195&2071&2499&292&2115&3645&824&7942&5704&4593&6361&54&2321&4649&634&2301&7886&369&5227&2558&988&6494&341&806&4322&5775&1656&1426&6777&915&876&2612&1116&3156&1404&579&148&6844&169&889&655&2415&4216&2097&20&175&7378&5859&3536&1728&1246&553&67&2642&2057&2604&5872&6017&2024&3139&446&2577&4266
236.29180479049683,466,3434&1027&4328&68&200&1067&1729&1274&1945&1253&27&6039&5543&337&1002&512&2768&6223&4972&7220&3969&2487&5260&6729&4330&748&3752&6531&830&5631&956&1154&3744&2826&4325&6468&5915&822&5561&3771&1432&6446&7578&2936&983&4950&850&7354&2002&1181&5326&694&3356&2654&353&3214&3668&6321&3080&7262&434&2485&499&3242&4362&1547&4375&307&195&3581&2725&1111&4352&870&1330&1946&5510&2816&4611&2686&1631&2912&1414&4194&3579&2817&5077&1095&7818&909&368&7154&5726&3758&2423&4214&3126&2590&5430&3106&6231&379&2900&2452&2781&159&4338&411&1864&2184&2380&5877&5174&284&6574&80&2171&730&7765&3867&219&523&4986&5032&2265&1427&6964&790&115&2823&2409&4164&3859&5157&1869&7712&4471&3961&2519&2762&4850&4685&607&2315&688&173&1209&1024&3019&298&4043&3120&1981&4805&1920&4489&6344&2623&2598&3889&2893&3396&28&3927&221&6163&234&3322&4670&5501&5493&7623&5565&1187&1231&8087&588&3022&3857&7503&3863&887&5241&1290&1666&116&3121&854&5355&5609&3636&3112&4228&1989&5056&903&1311&1384&6365&1552&7941&3288&6657&4961&2667&3011&2324&178&4630&6714&785&4949&4844&2217&1247&5929&5974&3851&6700&5765&7514&139&88&5784&4749&5126&3623&6166&2704&4293&5399&2391&4479&5409&3377&3417&3037&4887&5812&4835&5147&558&4285&1985&1282&1732&5671&198&1604&1241&1157&4951&905&4745&1206&6101&397&390&687&6061&5478&6962&22&3912&6471&6076&7420&4566&112&420&1581&6027&3275&2649&1886&3402&2887&2510&3533&1501&1420&6572&6045&2492&4690&799&215&5249&5610&6262&3761&5105&426&2336&6073&5111&679&2613&6711&89&2561&2149&1942&3732&3258&4161&3221&4512&1527&4857&1207&5482&3006&3980&4730&404&1647&1884&1304&327&2714&2722&2222&157&858&1303&2242&1392&2534&1641&2173&6836&4740&111&352&34&1359&3906&1266&1540&184&3128&5100&672&5885&8340&3436&8214&666&7671&4698&5683&1822&2986&5483&2675&4251&3868&1927&6893&1618&1458&1268&1697&2302&1219&1605&6861&2092&5936&1792&2111&7533&2354&1538&72&6265&204&3596&1988&2352&373&1437&2190&350&7543&1283&191&151&1612&488&2881&2499&292&2115&6099&824&3077&3071&5427&5704&1627&2321&559&3811&7117&634&1970&6141&7886&689&369&4538&5227&2558&988&6494&6221&341&806&3718&6155&241&1617&1426&5187&915&4525&876&2612&1116&3156&1404&4303&579&148&6844&2591&401&169&889&655&2415&4216&4070&7449&175&4268&7378&3536&1782&1728&8286&553&2642&2057&2579&5764&2857&5872&6017&3139&446&2577&4266&417
244.55077385902405,426,3434&1027&4639&68&4056&1729&866&27&2771&6039&337&1763&1002&2789&512&4982&6223&3969&2487&4330&6531&3551&311&3138&956&1152&1154&2826&3220&6468&3771&1723&1432&2922&6446&2936&6888&850&4294&7354&2002&7193&694&2027&3356&2654&353&3655&1205&3668&3214&6321&3080&434&2485&499&3242&4362&1431&1547&7421&4375&1992&1281&195&1190&461&3581&1628&2725&4635&1111&4352&188&1330&1946&4611&4979&2686&2912&1414&4194&3579&2817&5077&7818&3966&6216&1095&3758&2423&3126&2590&5430&1890&379&2900&2452&2781&159&5825&4338&2880&3793&1864&5699&4827&2380&5877&5685&244&80&2171&730&7765&3349&219&1895&4986&2448&2829&6115&1427&3419&6046&2823&3559&1730&1869&4471&2574&529&2762&607&2608&2260&1990&880&173&3804&3019&4896&1350&6954&3120&6499&1981&4805&1920&942&6344&1807&2623&3889&2893&948&5816&28&3927&3104&221&3740&7014&234&6163&5501&6448&7623&5565&454&4092&588&3022&3857&7503&1513&887&698&3121&854&1059&6693&5609&3112&1989&5056&903&1311&5780&1384&6365&2529&7941&3288&6657&2667&178&7125&4630&4901&785&3351&7327&3311&4844&1321&2217&1247&7943&4744&5974&3815&6700&5765&7514&5784&88&6525&4749&5126&3623&2824&2704&4293&3646&5399&6180&8534&4479&5409&3417&2457&3037&5812&4835&5147&4285&558&1282&198&567&1157&4745&6101&563&0&390&6962&3874&2429&4566&112&420&1581&6027&1886&3402&2887&1935&2510&6460&1659&8003&4690&215&6262&3041&3475&5105&1939&2336&6073&2861&4132&4798&3572&2613&6711&2665&6074&2149&3267&1942&3732&4161&3221&1207&5482&7537&1716&3006&2081&1194&6606&355&1647&1884&327&2722&157&1016&1303&580&4532&1392&2534&4894&1641&2173&6836&4740&7243&352&34&1359&1266&184&3128&5100&672&3436&7164&7671&1791&4698&1822&2986&3713&5483&2675&1498&1618&6889&2552&4151&1268&1697&765&2302&1219&6861&6331&1792&5178&2111&2844&7533&44&1538&72&204&4105&1988&373&4495&7680&1437&2190&2573&350&488&191&1225&2499&2881&292&2147&824&3071&3109&5704&1627&2321&559&1970&634&7886&369&5227&2689&2558&988&6494&341&640&806&1426&6777&3604&876&3156&1606&1480&579&2230&6844&169&3679&2408&655&8495&2415&4216&3442&1701&4070&5680&6748&2365&175&7378&2921&5859&3536&5593&1246&8286&553&2642&2057&6490&5764&6556&5872&3139&417
248.19062089920044,427,3434&1027&1878&4639&2437&248&6768&1729&1945&27&6039&2771&337&512&124&6223&5260&3651&4330&5076&39&1152&1154&2826&4325&6468&5561&3771&1432&7578&983&850&4294&7077&7354&2002&1181&3356&5604&2654&353&3655&3668&1205&3214&6321&3080&434&1348&2485&499&1674&1547&77&4888&307&1992&1281&195&3581&4635&2725&1753&1111&4352&1330&5510&2686&951&1631&1414&4194&3579&2817&5077&5844&909&7154&3758&2423&2641&3126&5430&6231&1089&2900&2452&2781&159&2880&1864&2640&2380&5877&5174&5685&244&80&2171&730&7765&3349&4986&2829&680&1583&1427&3419&790&6046&2823&2625&3859&1869&4471&529&2762&4850&607&5114&688&880&173&5860&2828&1024&3019&3932&3120&6499&5694&1981&4805&1920&6344&7849&2623&6601&3153&3889&3396&5816&28&1218&719&3927&3104&221&7014&6163&5501&3936&7623&5565&398&1231&8087&3022&3857&7503&1513&887&6270&1290&698&2215&116&3121&1138&6693&5609&3636&3989&3112&25&4228&1989&4560&3948&903&1311&1384&6365&759&2667&7941&3288&3311&4630&785&4949&2217&1247&7943&4744&5929&5974&3575&6700&5765&139&88&5126&3623&1361&4293&5399&1449&711&4479&5409&1322&3417&3037&800&5812&558&4285&1985&1732&5671&198&567&2516&1157&4951&4745&6101&390&687&6061&3247&6962&5549&6471&6776&6076&4823&4566&7420&112&420&1581&6027&4621&2649&3402&2887&2510&1420&1659&4690&2158&215&5249&2474&6262&3866&3041&5105&426&2336&6073&5111&2861&4132&4798&1119&2528&7020&89&2665&6074&2149&3455&1942&3732&4161&3221&4183&4748&4492&1207&5482&3006&2081&1194&1647&1260&5745&2222&157&1016&858&294&3517&8218&1392&2534&4894&2173&6836&4740&111&352&34&1359&3906&1266&1540&208&4751&184&3128&5100&672&6863&5885&3436&1791&4698&5683&2986&3713&5483&2675&4251&1498&6893&1618&6380&6889&1458&1748&4063&7562&7838&4151&1697&2302&1219&1605&6637&6861&6331&2111&7533&2146&44&1538&72&204&3596&4105&2352&373&1437&2343&2190&350&488&191&2499&2881&292&2115&3645&824&5704&5700&1627&54&462&2321&1970&634&5227&2558&988&341&806&4322&1639&6155&2113&1426&5187&2612&4525&8330&876&1116&2644&579&148&452&401&169&889&2408&655&4216&1537&1701&7383&4754&175&7378&5859&7240&1728&3536&5593&1246&8286&553&2642&2057&6490&2797&67&5764&5872&446&2577&4266&417
248.24191689491272,442,3434&1027&4639&826&2437&248&1729&8246&1945&27&2771&337&1002&2789&512&4982&967&3969&2487&4014&1456&394&5076&5631&39&1917&1154&3744&964&2826&99&4325&5246&6468&5561&3771&1432&2936&4294&7077&7354&2002&1672&694&1181&3356&2532&353&3655&1205&5604&2654&2317&7262&2843&434&6321&3214&499&3242&3080&1348&2485&4362&4375&4888&307&1992&1281&195&1190&2537&3581&1628&2725&4635&1111&4352&1330&5510&2981&6316&2686&1631&2912&5077&3579&2817&7818&1095&3966&6216&7154&5726&3758&5430&7279&1890&6231&545&1014&2900&2452&2781&159&923&5825&2880&1864&2380&5174&284&6574&244&80&1388&730&7765&2188&4986&2829&6115&3339&1112&3673&1427&790&6784&2823&3859&5157&1869&4471&2574&529&2519&4850&607&2539&6026&5114&688&1990&173&3019&179&4896&6954&1195&731&1981&4805&1920&6344&7849&2623&3889&2893&948&5816&28&1218&73&3927&3104&221&7658&6163&234&4670&5501&3936&6448&7623&5565&1231&588&3022&3857&7503&1513&4010&6270&1290&408&1273&3121&854&165&6693&5355&5609&3636&3989&3112&2818&4228&164&1989&5056&903&1311&6365&1828&2667&3288&6657&7125&4630&4901&6714&4949&3398&2217&1247&5929&3884&5974&3851&6700&5765&139&88&2704&5126&3623&5399&4479&3417&3037&4887&4835&558&4285&8446&1985&1282&1732&5671&198&1157&4360&4951&4745&6101&0&390&687&6962&22&6471&2221&2429&4823&4566&112&420&1581&6027&4621&816&2649&1886&3402&4627&1935&2510&3533&1659&4690&2158&215&5249&3761&3475&3041&5105&426&2336&5111&2861&6073&4132&4798&89&6074&2149&1942&4183&1527&5482&7537&1063&3006&3980&1194&6606&355&1647&1884&3648&1304&6845&2722&2222&157&1016&1303&294&4532&1392&4894&2173&6836&4740&111&352&34&182&622&1359&3906&1266&1540&208&184&3128&4398&672&5885&3436&666&7671&4698&5683&4551&2986&3713&1968&5483&4400&1662&1922&3868&1498&1927&6889&2552&7562&4151&1268&1697&765&2302&1219&6861&6331&2111&3547&2713&2146&44&271&1538&72&204&3596&1988&2352&373&1437&2190&350&488&191&2499&2881&6681&292&2115&824&5704&1627&54&2321&559&634&2301&2340&369&5227&2558&988&6494&7757&341&640&806&4322&1121&1426&6777&2612&4525&8330&876&1116&3156&1404&148&452&6844&6473&401&169&889&655&2636&2415&4216&1537&1701&465&175&7378&5859&3536&1728&2773&5593&1246&553&2642&2057&2797&5764&5872&6017&2024&2577&4266&417
250.9507508277893,412,3434&1027&826&4639&2940&200&1729&866&1945&1253&27&3366&2771&337&2789&4982&4972&3969&2487&5260&4330&6531&6006&7197&5631&956&1152&1154&2826&4325&6468&5915&5914&5561&3771&1432&2922&4193&7578&2936&31&4294&7354&815&1181&694&3356&353&3655&1205&3214&3080&7262&434&2485&499&4362&1674&1431&1547&7421&4375&77&307&1992&461&195&3950&2537&3581&4635&2725&5005&1111&1753&11&1330&1946&4611&2686&951&2912&1414&4194&3579&2817&7818&3966&354&1466&368&7154&5726&3758&4519&3126&5430&7279&1890&2900&2452&2781&159&2461&8683&2880&1864&2380&5877&5174&80&2171&730&7765&1904&219&4986&2829&7604&6115&3673&3419&790&2823&2409&2625&3859&1869&4471&2574&529&2762&4850&607&688&173&6259&1024&3019&3932&4043&4805&1920&6344&2623&2598&3889&2893&3396&2731&6673&948&5816&1218&3927&4159&3740&5501&6448&1135&1231&3022&3857&7503&544&7515&1513&1290&698&3121&854&6693&5355&3636&3112&4228&1989&903&1311&2117&6766&1384&1828&759&2667&3288&4630&6714&785&4949&4844&2217&1247&4744&5974&3851&6700&5765&139&88&4749&2824&5126&3623&4293&5399&1449&8534&4479&5409&3417&2457&3037&5812&5147&558&4285&1282&198&84&4745&6101&397&0&687&3705&6962&22&4823&4566&112&420&1581&4621&2649&1886&2638&3307&1935&3584&1659&2158&215&5610&569&6262&3866&3761&3475&3041&426&2336&5111&2861&4798&3572&1119&2613&1436&7020&89&2665&6074&1942&3732&4161&3221&4183&1527&4492&4624&3006&1194&6606&404&1647&1884&1371&6845&2222&157&1016&1303&1392&3357&2534&1201&3421&508&4894&2173&6836&4740&111&352&1535&1359&3906&1266&1540&6910&184&3128&5885&247&666&1791&4698&5683&2986&3713&4251&3868&1498&1927&7953&2168&1618&6889&2552&1458&7562&6739&4151&1268&1697&2302&6861&6637&2092&5936&6331&44&1538&72&204&4105&1988&7331&260&1437&2343&2190&350&3189&488&191&2499&292&3261&3071&4593&6361&1627&755&2321&1970&634&2301&6141&369&5227&2220&245&2558&988&341&806&5487&241&1833&2657&3905&1426&6777&915&4525&8330&1116&3156&1480&148&401&169&889&655&2415&4216&1537&1701&8160&5680&465&2259&175&7378&5859&3536&1728&1246&8286&553&2642&67&757&4609&5872&2024&3139&446&2577&6026
241.31734085083008,432,43&3434&1027&4639&826&2940&2437&1729&27&6039&2771&337&2789&512&2768&7220&3969&2487&6531&311&5076&5631&956&1152&1154&3744&2826&4325&5246&6468&822&5561&3771&1432&4442&3781&2513&2936&983&850&636&2700&4294&7354&2002&7193&694&1181&3356&2654&3655&1205&3668&3214&6321&3080&434&1011&4764&2485&499&3242&4362&1547&7421&4205&2554&307&1992&195&3581&1753&1111&4352&562&291&1330&7112&1946&916&2525&4611&2686&951&1631&1414&4194&3579&2817&1779&5107&3966&7154&647&3126&2590&5430&6231&2900&159&7951&2781&5825&4338&2880&4464&1864&2380&5877&5174&284&6574&244&80&5685&2171&7765&4986&2829&1583&1427&6964&3419&790&6046&2823&2625&3239&4471&2574&529&2519&4850&607&2539&5114&4154&688&1990&173&3019&4896&6907&3120&1981&4805&1920&855&7849&1807&2623&749&3889&2893&3396&2731&948&5816&28&1218&3927&3104&221&3740&6163&5501&7623&1231&8087&588&3022&3857&7503&544&3902&1513&887&1290&698&116&3121&1138&6693&5661&3636&3112&2818&4228&1989&5056&903&1311&1384&6365&2667&7941&3288&6657&4961&178&7125&4630&785&4949&4844&2217&1247&7943&4744&5929&5974&6700&139&88&5784&4749&5126&3623&2704&4293&5399&711&8586&8534&3160&3377&3417&3037&3260&5812&558&4285&1985&1282&1732&198&1604&1157&4360&4951&4745&1206&6101&390&79&0&687&6061&5638&6962&1974&6471&2429&4823&7420&112&420&1581&6027&638&4621&2064&1886&3402&3307&1858&2887&1935&532&1659&1908&5117&4690&2158&5249&5610&3866&6262&3761&1424&3041&3475&5105&426&2336&5111&2861&6073&4798&1119&2613&7020&89&2665&6074&2149&1942&3732&4161&3221&3006&1194&404&1647&3648&1304&2222&157&1016&1303&580&1392&3357&2534&5371&4894&2173&6836&4740&352&3906&1266&1540&3128&672&5885&3436&666&7671&1791&5683&3887&2986&3713&5483&1922&4251&1498&1927&6893&4653&1618&6889&2552&1458&7562&7838&4151&1697&2302&6861&2092&2672&1792&2111&7533&2146&44&1538&72&204&3596&556&1988&2352&1437&2343&350&1056&488&4971&191&886&2881&292&2115&2147&824&5704&1627&54&2321&634&369&5227&245&2558&988&7757&341&806&4258&1121&1617&1426&915&876&2612&1116&1357&3156&843&1480&148&6844&169&889&2408&2415&4216&1701&4070&5680&465&2338&175&7378&5859&3536&1728&5593&4692&553&2642&2057&5872&1603&8277&3139&446&2577&4266
