tdg_iter_descent[10000, 1]
time,|TSS|,sol
219.37322092056274,175,3462&693&146&3866&3615&2890&1703&2698&1564&1713&1026&4825&4004&3178&1229&2821&750&428&769&1659&1685&2523&335&1742&3613&2498&1657&303&370&310&4891&1969&1398&1562&2617&667&4689&896&1636&136&424&4769&0&3616&4539&786&65&576&1108&478&1753&4292&1877&279&4124&759&873&1247&1275&2039&1749&647&4369&1856&2596&2199&1181&2244&3813&4852&169&3571&1025&1361&196&1805&961&43&20&5537&1462&607&963&3463&180&248&955&39&1590&390&64&1445&2080&2055&1075&1644&1626&2049&3296&2102&1620&950&1200&2336&3138&2761&1318&4740&125&4890&736&5154&5645&2952&1198&2017&5096&1610&2906&3926&5016&236&1403&4781&1417&55&2001&636&1743&1666&1815&2653&4293&111&3310&804&1890&2086&4973&198&3715&2293&537&3312&2532&1649&1834&1847&1396&3930&949&967&2091&2384&1400&2751&66&718&6071&4362&5285&3409&5788&1854&3364&191&516&859&2048&1218&3163&2599&193&108&5504
213.84963250160217,193,5220&3833&3462&693&146&351&3615&2890&1703&1404&4004&133&1118&4230&1466&428&1589&769&1659&1685&2646&5545&1742&335&2523&2032&1785&439&1657&1307&303&310&1969&109&1398&1562&151&667&3558&4689&226&5168&1636&136&3095&4769&4539&786&576&521&2803&478&1753&4&1877&279&5406&873&1275&2039&1749&2927&1301&4369&1856&2199&1181&2244&1792&2654&1453&382&606&3813&169&3475&1025&138&196&3913&1805&289&961&20&989&5537&1462&43&5291&180&1882&2828&1478&1382&1556&955&39&2279&1163&1814&3865&101&3933&1579&390&64&1445&2798&2055&1075&1644&1626&2049&3296&2102&1620&679&1200&2871&2761&4434&1318&125&736&5154&44&3846&886&2942&5645&1198&27&1098&1534&2017&1610&4107&3926&1217&236&209&4781&55&636&1815&3771&929&4293&111&1002&3310&804&2362&4628&4319&3715&2345&2293&537&3312&1834&412&1847&3930&1030&2114&949&2384&1930&4279&1400&2751&66&2638&49&5285&1992&5788&4324&859&191&1369&4423&2569&1698&3163&3363&193&2134&3327&108&1674&5504
204.11050462722778,168,694&3833&3462&693&146&3866&3615&1703&4004&133&1118&1466&750&428&769&1659&1685&2523&1742&1385&3613&1785&247&2498&1657&303&370&310&1969&1398&1562&1297&3405&667&5775&4689&5937&1973&896&3346&416&4769&3077&3616&3358&576&521&1108&1669&478&1753&1414&2231&1877&4124&873&1247&2039&1749&4093&2199&1181&63&1792&1212&3468&2654&2024&4334&3813&3571&930&1361&196&2079&961&20&989&5537&399&180&2828&1556&39&1163&1814&3865&112&1579&390&2798&2055&1075&1644&1626&2049&3296&2102&1620&821&1200&2761&4434&1318&125&448&736&5154&1712&2942&4684&1198&2116&1426&1098&2014&2017&5096&1610&3926&236&1666&1815&3771&929&4293&111&1002&3310&804&2362&427&611&3715&2293&3312&250&1834&1396&1459&3930&1030&2114&949&2597&967&2384&1019&1930&3716&1675&6071&49&1992&3066&5788&4324&1596&3364&4073&938&1218&3163&3341&1859&2134&1674&5504
211.03657269477844,185,3833&3462&3866&146&693&3615&3943&2890&1703&5207&2948&1699&1026&3179&4004&1118&1466&428&1659&1338&2523&335&1742&2575&1785&439&2498&1657&1307&303&310&5925&4180&1794&389&1398&1562&151&4587&667&4689&4191&659&2224&896&1636&3232&136&1692&416&786&576&521&1972&478&1753&1920&1877&279&5406&1247&1275&2039&1749&2485&647&5572&1856&3191&1181&2654&3468&4334&3813&4852&169&4196&4204&4285&196&1424&289&43&20&989&5537&1462&961&5291&1994&1724&4583&2391&1758&1478&248&2288&1163&1814&1579&3096&1974&390&2080&1075&1644&3796&1626&2049&2102&1620&679&251&548&1200&2871&2761&4434&60&1318&4740&736&2942&149&1198&1098&2014&5096&1610&3528&3733&3926&236&1403&4781&636&2001&3305&1743&1666&1815&3771&2653&2362&1002&3310&804&5729&3398&1289&1004&427&83&3715&2293&3312&1834&412&1040&1396&3930&5486&2114&3823&2384&726&1400&3937&2638&1868&1992&3066&5788&4324&3364&2048&2831&98&1218&3163&193&2134&108&1674&5504
216.95604276657104,189,179&3462&146&3615&133&2821&428&2093&1685&2646&4875&2523&3539&335&1742&439&2498&1657&1307&303&1969&370&629&4857&1398&1562&2617&667&5775&4689&3259&3966&1084&896&353&1636&4041&136&3095&2529&3346&4769&3616&4539&786&576&1108&478&129&5504&2375&1717&1877&165&279&2424&4124&5406&873&1748&1275&2056&1749&647&1301&4369&4093&1891&2596&2199&1181&1917&3890&3981&2654&4298&4334&169&3475&3571&138&4738&1361&196&961&194&20&989&5537&1462&22&963&180&1758&1882&1556&955&39&1579&1445&2798&2055&1075&1644&1626&2049&3296&2102&1620&950&821&1200&2871&852&4434&1318&125&1476&736&1305&2942&4447&5645&2952&1198&3016&4783&1098&2017&1610&3926&1403&4781&55&4752&1666&1815&4332&6241&1855&3771&2653&4880&4293&111&1002&3310&804&2362&4183&4902&2451&4788&3715&2345&2293&537&3312&250&412&3930&2114&2384&1930&1168&3822&66&2638&6071&49&4362&5285&752&3409&1992&1596&5788&4324&3364&191&2048&411&1369&3163&3363&193&2134&108&1004
219.73703837394714,171,3833&3462&3866&693&146&3615&998&3102&2961&1703&385&2907&450&4004&1466&428&769&1659&3309&1793&2646&335&1742&2523&2575&439&2498&1657&303&310&131&4891&109&4857&1520&1398&2193&1260&4689&489&1973&896&1692&4769&1569&786&576&521&2803&478&3824&1877&1275&2039&1749&647&1117&1856&2596&2199&1181&175&1389&1223&2683&4381&2654&3468&700&4334&3813&169&3475&3571&4204&138&620&2900&961&989&5537&1462&399&963&180&3137&1758&1882&1478&3654&39&2201&1163&1331&1814&390&64&1445&2080&2798&1644&1626&3967&2049&1620&679&1200&2761&4434&2577&1318&125&1476&448&736&5154&2942&5645&1198&3140&145&2223&1098&2014&1534&1610&948&236&55&636&1670&1815&3771&2653&4293&111&1002&3310&1751&804&2362&4793&3715&1850&2345&2293&3312&4940&1649&2184&1030&1161&2384&5618&1082&579&66&2638&3810&5285&1992&3066&5788&1698&3163&3934&193&2134&108&1674&5504
207.56607031822205,190,5220&3833&3462&2635&693&351&3615&146&2948&2164&787&1026&4004&2581&4095&410&1685&2646&335&1742&2523&3613&192&3210&247&439&2498&1657&370&1969&1307&109&1398&667&2193&4689&896&1946&4041&136&1648&1692&3844&3616&786&3358&576&521&1108&4815&1129&478&1753&5504&2231&1920&2075&1877&279&392&5406&469&1748&1275&1749&2485&4093&4369&1191&1856&2244&1917&1223&1389&2377&1792&3171&2654&382&4852&1941&3475&4204&4738&80&1361&1424&289&961&43&989&5537&32&180&2828&248&3991&1556&1163&2794&390&1445&2798&2055&1075&3350&1644&243&1620&1200&1765&61&340&4434&1318&4740&1476&736&5154&1305&44&5645&1198&1929&3140&2069&2116&1888&2906&3926&1431&1625&1403&236&209&4781&3393&636&1666&1815&174&3771&2826&4541&111&2362&1751&804&1890&391&3715&2293&3312&4487&3700&4635&1126&1847&541&1896&2114&949&967&2091&2384&4036&579&3716&66&2638&6071&2343&724&1992&3066&5788&4324&3364&2048&1369&6062&1698&3163&2554&3934&193&108&1674&1267&1004
205.86545705795288,199,797&3462&146&3615&2890&505&2948&1404&4206&5163&1026&3178&4004&133&1866&326&428&2112&1659&1685&2646&2523&1742&1785&247&439&1657&1307&303&370&310&109&1398&1562&1377&667&5775&2808&896&136&3550&416&4769&846&786&576&521&1108&668&478&1753&2231&699&1877&279&873&1748&1275&1749&5625&4193&2596&2199&2723&175&1181&2244&1917&2654&3813&169&3571&1025&122&138&4355&4738&2079&1041&289&20&989&4741&5537&1462&963&2391&180&3137&2828&3991&1556&955&39&2279&1163&3933&1579&2794&390&64&2798&1075&1644&1626&2049&3296&1620&560&1200&2871&2336&2761&4434&2338&1318&125&1857&736&5154&1305&3846&2358&5645&4684&1198&27&1098&2017&2657&1610&948&2906&3926&1403&3266&209&4781&1417&55&2001&636&1743&1989&2897&33&1333&3771&458&929&4293&111&1002&3310&804&1250&4973&4319&3715&2293&537&3312&1649&4109&1834&1317&574&1030&5486&2114&967&2384&1930&3716&1400&66&2638&6071&49&5285&1992&5788&4324&3364&859&191&4073&1369&4098&2569&1698&2228&3363&2599&2134&108&409&1674&5504
209.2389853000641,196,3462&3866&693&146&3615&1547&2948&1404&3081&1026&4004&1229&1124&2821&1466&428&769&1659&1685&2093&5545&335&1742&2523&3613&2053&6036&1785&247&439&2498&1657&1307&131&310&1969&238&1398&1562&1297&667&4689&5168&896&1636&136&4769&424&3616&786&576&521&1108&478&1877&279&2709&5406&873&2039&1749&5028&5572&4369&1191&1856&2596&1181&2244&1917&3981&4303&2654&382&1245&4334&169&3475&3571&122&196&1805&43&289&961&20&4741&5537&3886&989&399&1724&180&1758&2828&248&5014&1556&39&2201&1163&1814&3865&1579&2898&3921&390&64&1445&3471&2798&2055&1075&490&1644&1626&2049&3296&2102&1620&679&1200&2761&4434&125&110&736&5154&44&3846&2942&5645&1198&3140&2223&1098&1534&2017&5096&1610&5529&1403&55&636&1815&33&3771&2653&111&1002&3310&804&4400&484&906&4319&3715&1230&537&3312&3038&2666&1834&1396&1459&1030&2114&967&2384&1930&3043&3716&1400&66&2638&4207&49&1992&3066&5788&4324&3364&859&191&2048&1369&3466&1698&3163&3934&193&2134&1836&108&1674&5504
212.65078997612,193,5220&797&3833&3866&693&146&3615&2890&1703&2948&3415&1527&3178&4004&133&1229&3179&2281&2821&428&1659&1685&2523&335&1742&4792&3613&3135&1785&247&439&2498&1657&303&310&1969&4891&1209&1307&1794&1520&5073&4033&1562&151&1377&667&3558&4689&4191&659&777&867&2396&896&1946&1636&136&3095&4769&4914&3358&576&521&1108&668&478&1753&129&2375&1877&279&873&1275&2039&1749&5572&1191&1856&2596&2199&3191&1389&1212&3981&2654&382&606&3813&3475&1647&1366&1361&1497&105&196&4465&961&43&20&5537&1462&2278&3295&963&3463&180&1758&2828&248&1556&3654&955&39&2285&1163&2888&3865&1579&390&64&1445&2055&1075&1644&2049&3296&2102&1620&679&1200&3092&2761&1318&125&1476&736&5154&886&2942&5645&1198&27&1888&1534&2017&5096&1610&1403&4781&55&636&1666&1815&2052&3771&2653&111&1002&3310&804&2362&3398&4319&3715&2293&537&3038&3312&1834&3930&1030&2114&2309&480&2463&1400&66&2638&49&5788&3364&859&2048&411&1698&3163&3363&1022&108&680&1674&5504
205.7124719619751,198,3462&2635&693&146&3615&1701&1234&1703&2948&3415&2050&1699&1026&3178&4004&133&1229&4825&326&2821&428&769&1685&1237&2646&335&1742&2523&4344&1259&1785&247&439&2498&1657&303&370&310&667&4689&1286&2224&896&1946&1694&4041&136&3095&416&4769&3858&3616&786&576&521&478&1753&5504&2231&2375&1877&165&279&5406&873&1748&1275&2039&1749&647&5572&4369&1191&1856&2596&2199&4631&3981&2654&5670&1453&382&4334&3813&169&3475&3571&138&2875&1415&1361&196&289&961&20&989&5537&1462&4516&6258&399&5291&1994&321&180&1484&1882&2828&1556&955&39&1814&1579&1974&390&1445&2237&1075&1644&1626&3296&1620&679&548&1200&1765&2871&4295&2761&4434&1318&125&1476&736&2942&5645&3117&4684&1198&3140&27&1098&124&2017&288&3926&1217&236&1403&55&636&5792&1666&1815&2897&3771&2653&4880&111&1002&804&1890&1289&1344&3715&1850&2293&537&3312&4487&922&1834&1317&1396&1459&1030&3930&2114&967&3716&66&718&49&1992&5788&4324&859&2048&1369&98&2228&3163&422&2599&2134&108&1674&1117
